"journal","url","publisher","date"
"Journal of Biochemistry and Biotechnology","https://www.alliedacademies.org/journal-biochemistry-biotechnology/","Allied Academies",2021-05-19
"Journal of Chemical Technology and Applications","https://www.alliedacademies.org/journal-chemical-technology-applications/","Allied Academies",2021-05-19
"Journal of Clinical and Bioanalytical Chemistry","https://www.alliedacademies.org/clinical-and-bioanalytical-chemistry/","Allied Academies",2021-05-19
"Journal of Industrial and Environmental Chemistry","https://www.alliedacademies.org/journal-industrial-environmental-chemistry/","Allied Academies",2021-05-19
"Journal of Pharmaceutical Chemistry & Chemical Science","https://www.alliedacademies.org/journal-pharmaceutical-chemistry-chemical-science/","Allied Academies",2021-05-19
"Addiction & Criminology","https://www.alliedacademies.org/addiction-criminology/","Allied Academies",2021-05-19
"Journal of Cancer Clinical Research","https://www.alliedacademies.org/journal-cancer-clinical-research/","Allied Academies",2021-05-19
"Journal of Clinical and Experimental Toxicology","https://www.alliedacademies.org/clinical-experimental-toxicology/","Allied Academies",2021-05-19
"Journal of Clinical and Experimental Traumatology","https://www.alliedacademies.org/clinical-experimental-traumatology/","Allied Academies",2021-05-19
"Journal of Clinical Dentistry and Oral Health","https://www.alliedacademies.org/journal-clinical-dentistry-trials/","Allied Academies",2021-05-19
"Journal of Clinical Endocrionology Research","https://www.alliedacademies.org/journal-clinical-endocrionology-research/","Allied Academies",2021-05-19
"Journal of Clinical Nephrology and Therapeutics","https://www.alliedacademies.org/journal-clinical-nephrology-therapeutics/","Allied Academies",2021-05-19
"Journal of Clinical Oncology and Cancer Research","https://www.alliedacademies.org/journal-clinical-oncology-cancer-research/","Allied Academies",2021-05-19
"Journal of Clinical Ophthalmology","https://www.alliedacademies.org/clinical-ophthalmology-and-vision-science/","Allied Academies",2021-05-19
"Journal of Clinical Pathology and Laboratory Medicine","https://www.alliedacademies.org/clinical-pathology-laboratory-medicine/","Allied Academies",2021-05-19
"Journal of Clinical Research and Pharmacy","https://www.alliedacademies.org/journal-clinical-research-pharmacy/","Allied Academies",2021-05-19
"Journal of Clinical Respiratory Medicine","https://www.alliedacademies.org/journal-clinical-respiratory-medicine/","Allied Academies",2021-05-19
"Journal of Dermatology Research and Skin Care","https://www.alliedacademies.org/journal-dermatology-research-skin-care/","Allied Academies",2021-05-19
"Journal of Diabetology","https://www.alliedacademies.org/journal-diabetology/","Allied Academies",2021-05-19
"Journal of Pathology and Disease Biology","https://www.alliedacademies.org/pathology-and-disease-biology/","Allied Academies",2021-05-19
"Journal of Pulmonology and Clinical Research","https://www.alliedacademies.org/journal-pulmonology-clinical-research/","Allied Academies",2021-05-19
"Ophthalmology Case Reports","https://www.alliedacademies.org/ophthalmic-and-eye-research/","Allied Academies",2021-05-19
"Research in Clinical Dermatology","https://www.alliedacademies.org/research-in-clinical-dermatology/","Allied Academies",2021-05-19
"Archives in Food and Nutrition","https://www.alliedacademies.org/archives-food-nutrition/","Allied Academies",2021-05-19
"Insights in Nutrition and Metabolism","https://www.alliedacademies.org/insights-in-nutrition-and-metabolism/","Allied Academies",2021-05-19
"Journal of Food Microbiology","https://www.alliedacademies.org/journal-food-microbiology/","Allied Academies",2021-05-19
"Journal of Food Nutrition and Health","https://www.alliedacademies.org/journal-food-nutrition-health/","Allied Academies",2021-05-19
"Journal of Food Science and Nutrition","https://www.alliedacademies.org/journal-food-science-nutrition/","Allied Academies",2021-05-19
"Journal of Food Technology and Preservation","https://www.alliedacademies.org/food-technology-and-preservation/","Allied Academies",2021-05-19
"Journal of Nutrition and Human Health","https://www.alliedacademies.org/nutrition-human-health/","Allied Academies",2021-05-19
"Journal of Public Health and Nutrition","https://www.alliedacademies.org/public-health-nutrition/","Allied Academies",2021-05-19
"Allied Journal of Environmental Earth Sciences","https://www.alliedacademies.org/allied-journal-of-environmental-earth-sciences/","Allied Academies",2021-05-19
"Archives of Industrial Biotechnology","https://www.alliedacademies.org/archives-of-industrial-biotechnology/","Allied Academies",2021-05-19
"Environmental Risk Assessment and Remediation","https://www.alliedacademies.org/environmental-risk-assessment-and-remediation/","Allied Academies",2021-05-19
"International Journal of Pure and Applied Zoology","https://www.alliedacademies.org/international-journal-of-pure-and-applied-zoology/","Allied Academies",2021-05-19
"Journal of Agricultural Science and Botany","https://www.alliedacademies.org/journal-agricultural-science-botany/","Allied Academies",2021-05-19
"Journal of Applied Mathematics and Statistical Applications","https://www.alliedacademies.org/journal-applied-mathematics-statistical-applications/","Allied Academies",2021-05-19
"Journal of Biomedical Imaging and Bioengineering","https://www.alliedacademies.org/biomedical-imaging-and-bioengineering/","Allied Academies",2021-05-19
"Journal of Biotechnology and Phytochemistry","https://www.alliedacademies.org/journal-biotechnology-phytochemistry/","Allied Academies",2021-05-19
"Journal of Environmental Waste Management and Recycling","https://www.alliedacademies.org/journal-environmental-waste-management-recycling/","Allied Academies",2021-05-19
"Journal of Finance and Marketing","https://www.alliedacademies.org/journal-finance-marketing/","Allied Academies",2021-05-19
"Journal of Fisheries Research","https://www.alliedacademies.org/journal-fisheries-research/","Allied Academies",2021-05-19
"Journal of Plant Diseases & Biomarkers","https://www.alliedacademies.org/plant-diseases-and-biomarkers/","Allied Academies",2021-05-19
"Journal of Systems Biology & Proteome Research","https://www.alliedacademies.org/systems-biology-proteome-research/","Allied Academies",2021-05-19
"Journal of Veterinary Medicine and Allied Science","https://www.alliedacademies.org/veterinary-medicine-and-allied-science/","Allied Academies",2021-05-19
"Materials Science and Nanotechnology","https://www.alliedacademies.org/journal-materials-science-researh-nanotechnology/","Allied Academies",2021-05-19
"Journal of Aging and Geriatric Psychiatry","https://www.alliedacademies.org/aging-and-geriatric-psychiatry/","Allied Academies",2021-05-19
"Journal of Cell Biology and Metabolism","https://www.alliedacademies.org/journal-cell-biology-metabolism/","Allied Academies",2021-05-19
"Journal of Cell Science and Mutation","https://www.alliedacademies.org/advances-in-cell-science-and-tissue-culture/","Allied Academies",2021-05-19
"Journal of Genetics and Molecular Biology","https://www.alliedacademies.org/journal-genetics-molecular-biology/","Allied Academies",2021-05-19
"Journal of Histology and Cell Biology","https://www.alliedacademies.org/journal-histology-cell-biology/","Allied Academies",2021-05-19
"Journal of Molecular Medicine and Therapy","https://www.alliedacademies.org/molecular-medicine-and-therapy/","Allied Academies",2021-05-19
"Journal of Molecular Oncology Research","https://www.alliedacademies.org/molecular-oncology-research/","Allied Academies",2021-05-19
"Journal of RNA and Genomics","https://www.alliedacademies.org/journal-of-rnai-and-gene-silencing/","Allied Academies",2021-05-19
"Research and Reports on Genetics","https://www.alliedacademies.org/research-reports-on-genetics/","Allied Academies",2021-05-19
"Immunology Case Reports","https://www.alliedacademies.org/immunology-case-reports/","Allied Academies",2021-05-19
"Journal of Bacteriology and Infectious Diseases","https://www.alliedacademies.org/journal-bacteriology-infectious-diseases/","Allied Academies",2021-05-19
"Journal of Cancer Immunology & Therapy","https://www.alliedacademies.org/journal-cancer-immunology-therapy/","Allied Academies",2021-05-19
"Journal of Clinical Immunology Research","https://www.alliedacademies.org/journal-clinical-immunology-research/","Allied Academies",2021-05-19
"Journal of Infectious Diseases and Medical Microbiology","https://www.alliedacademies.org/journal-infectious-diseases-medical-microbiology/","Allied Academies",2021-05-19
"Journal of Parasitic Diseases: Diagnosis and Therapy","https://www.alliedacademies.org/parasitic-diseases-diagnosis-therapy/","Allied Academies",2021-05-19
"Journal of Plant Biotechnology and Microbiology","https://www.alliedacademies.org/journal-plant-biotechnology-microbiology/","Allied Academies",2021-05-19
"Microbiology: Current Research","https://www.alliedacademies.org/microbiology-current-research/","Allied Academies",2021-05-19
"Research and Reports in Immunology","https://www.alliedacademies.org/research-reports-immunology/","Allied Academies",2021-05-19
"Research Journal of Allergy and Immunology","https://www.alliedacademies.org/research-journal-of-allergy-and-immunology/","Allied Academies",2021-05-19
"Virology Research Journal","https://www.alliedacademies.org/virology-research/","Allied Academies",2021-05-19
"Allied Journal of Medical Research","https://www.alliedacademies.org/allied-journal-of-medical-research/","Allied Academies",2021-05-19
"Annals of Cardiovascular and Thoracic Surgery","https://www.alliedacademies.org/annals-of-cardiovascular-and-thoracic-surgery/","Allied Academies",2021-05-19
"Archives of Digestive Disorders","https://www.alliedacademies.org/archives-of-digestive-disorders/","Allied Academies",2021-05-19
"Archives of General Internal Medicine","https://www.alliedacademies.org/archives-of-general-internal-medicine/","Allied Academies",2021-05-19
"Asian Journal of Biomedical and Pharmaceutical Sciences","http://www.jbiopharm.com/","Allied Academies",2021-05-19
"Biology & Medicine Case Reports","https://www.alliedacademies.org/biology-and-medicine-case-reports/","Allied Academies",2021-05-19
"Biomedical Research","https://www.alliedacademies.org/biomedical-research/","Allied Academies",2021-05-19
"Biomedical Research","http://www.biomedres.info/","Allied Academies",2021-05-19
"Case Reports in Surgery and Invasive Procedures","https://www.alliedacademies.org/case-reports-in-surgery-invasive-procedures/","Allied Academies",2021-05-19
"Current Pediatric Research","https://www.alliedacademies.org/current-pediatrics/","Allied Academies",2021-05-19
"Current Pediatric Research","http://www.currentpediatrics.com/","Allied Academies",2021-05-19
"Current Trends in Cardiology","https://www.alliedacademies.org/current-trends-in-cardiology/","Allied Academies",2021-05-19
"Gynecology and Reproductive Endocrinology","https://www.alliedacademies.org/gynecology-reproductive-endocrinology/","Allied Academies",2021-05-19
"Hematology and Blood Disorders","https://www.alliedacademies.org/hematology-blood-disorders/","Allied Academies",2021-05-19
"Integrative Journal of Bone and Cartilage","https://www.alliedacademies.org/integrative-journal-of-bone-and-cartilage/","Allied Academies",2021-05-19
"International Journal of Respiratory Medicine","https://www.alliedacademies.org/international-journal-of-respiratory-medicine/","Allied Academies",2021-05-19
"Journal of Advanced Surgical Research","https://www.alliedacademies.org/advanced-surgical-research/","Allied Academies",2021-05-19
