"journal","url","publisher","date"
"Acute and Chronic Disease Reports","https://www.longdom.org/acute-chronic-disease-reports.html","Longdom",2021-05-17
"Journal of Advanced Chemical Engineering","https://www.longdom.org/advanced-chemical-engineering.html","Longdom",2021-05-17
"Advancements in Genetic Engineering","https://www.longdom.org/advancements-in-genetic-engineering.html","Longdom",2021-05-17
"Advances in Automobile Engineering","https://www.longdom.org/advances-in-automobile-engineering.html","Longdom",2021-05-17
"Advances in dairy Research","https://www.longdom.org/advances-dairy-research.html","Longdom",2021-05-17
"Advances in Pharmacoepidemiology and Drug Safety","https://www.longdom.org/advances-in-pharmacoepidemiology-drug-safety.html","Longdom",2021-05-17
"Advances in Rare Diseases","https://www.longdom.org/advances-rare-diseases.html","Longdom",2021-05-17
"Journal of Aeronautics & Aerospace Engineering","https://www.longdom.org/aeronautics-aerospace-engineering.html","Longdom",2021-05-17
"Journal of Aging Science","https://www.longdom.org/aging-science.html","Longdom",2021-05-17
"Journal of Agricultural Science and Food Research","https://www.longdom.org/agricultural-science-food-research.html","Longdom",2021-05-17
"Agrotechnology","https://www.longdom.org/agrotechnology.html","Longdom",2021-05-17
"Journal of Alcoholism & Drug Dependence","https://www.longdom.org/alcoholism-and-drug-dependence.html","Longdom",2021-05-17
"Journal of Allergy & Therapy","https://www.longdom.org/allergy-therapy.html","Longdom",2021-05-17
"Anatomy & Physiology: Current Research","https://www.longdom.org/anatomy-physiology.html","Longdom",2021-05-17
"Andrology-Open Access","https://www.longdom.org/andrology-open-access.html","Longdom",2021-05-17
"Angiology: Open Access","https://www.longdom.org/angiology.html","Longdom",2021-05-17
"Annals and Essences of Dentistry","https://www.longdom.org/annals-essences-dentistry.html","Longdom",2021-05-17
"Journal of Anthropology Reports","https://www.longdom.org/forensic-anthropology.html","Longdom",2021-05-17
"Journal of Antivirals & Antiretrovirals","https://www.longdom.org/antivirals-antiretrovirals.html","Longdom",2021-05-17
"Journal of Applied Mechanical Engineering","https://www.longdom.org/applied-mechanical-engineering.html","Longdom",2021-05-17
"Journal of Applied Pharmacy","https://www.longdom.org/applied-pharmacy.html","Longdom",2021-05-17
"Journal of Aquaculture Research & Development","https://www.longdom.org/aquaculture-research-development.html","Longdom",2021-05-17
"Journal of Astrobiology & Outreach","https://www.longdom.org/astrobiology-and-outreach.html","Longdom",2021-05-17
"Journal of Bacteriology & Parasitology","https://www.longdom.org/bacteriology-parasitology.html","Longdom",2021-05-17
"Biochemistry & Pharmacology: Open Access","https://www.longdom.org/biochemistry-pharmacology-open-access.html","Longdom",2021-05-17
"Bioenergetics: Open Access","https://www.longdom.org/bioenergetics.html","Longdom",2021-05-17
"Biologia Moderna","https://www.longdom.org/biologia-moderna.html","Longdom",2021-05-17
"Biological Systems: Open Access","https://www.longdom.org/biological-systems-open-access.html","Longdom",2021-05-17
"Biology and Medicine","https://www.longdom.org/biology-and-medicine.html","Longdom",2021-05-17
"Journal of Biomedical Engineering and Medical Devices","https://www.longdom.org/biomedical-engineering-medical-devices.html","Longdom",2021-05-17
"Journal of Biomolecular Research & Therapeutics","https://www.longdom.org/biomolecular-research-therapeutics.html","Longdom",2021-05-17
