"journal","url","publisher","date"
"Journal of Addictive Behaviors,Therapy & Rehabilitation","https://www.scitechnol.com/addictive-behaviors-therapy-rehabilitation.php","SciTechnol",2021-05-19
"Advanced Biomedical Research and Innovation","https://www.scitechnol.com/advanced-biomedical-research-innovation.php","SciTechnol",2021-05-19
"Journal of Aging and Geriatric Medicine","https://www.scitechnol.com/aging-geriatric-medicine.php","SciTechnol",2021-05-19
"Analgesia & Resuscitation : Current Research","https://www.scitechnol.com/analgesia-resuscitation-current-research.php","SciTechnol",2021-05-19
"Andrology & Gynecology: Current Research","https://www.scitechnol.com/andrology-gynecology-current-research.php","SciTechnol",2021-05-19
"Journal of Applied Bioinformatics & Computational Biology","https://www.scitechnol.com/applied-bioinformatics-computational-biology.php","SciTechnol",2021-05-19
"Archives of Clinical Pathology","https://www.scitechnol.com/archives-clinical-pathology.php","SciTechnol",2021-05-19
"Archives of Medical Biotechnology","https://www.scitechnol.com/medical-biotechnology.php","SciTechnol",2021-05-19
"Archives of Transplantation","https://www.scitechnol.com/archives-transplantation.php","SciTechnol",2021-05-19
"Journal of Athletic Enhancement","https://www.scitechnol.com/athletic-enhancement.php","SciTechnol",2021-05-19
"Journal of Biochemical Engineering & Bioprocess Technology","https://www.scitechnol.com/biochemical-bioprocess-engineering-journal.php","SciTechnol",2021-05-19
"Journal of Biochemistry and Physiology","https://www.scitechnol.com/journal-biochemistry-physiology.php","SciTechnol",2021-05-19
"Journal of Biodiversity Management & Forestry","https://www.scitechnol.com/biodiversity-management-forestry.php","SciTechnol",2021-05-19
"Biomaterials and Medical Applications","biomaterials-medical-applications.php","SciTechnol",2021-05-19
"Journal of Blood Research & Hematologic Diseases","https://www.scitechnol.com/journal-of-blood-research-and-hematologic-diseases.php","SciTechnol",2021-05-19
"Journal of Business and Hotel Management","https://www.scitechnol.com/business-hotel-management.php","SciTechnol",2021-05-19
"Cell Biology: Research & Therapy","https://www.scitechnol.com/cell-biology-research-therapy.php","SciTechnol",2021-05-19
"Journal of Chemistry and Applied Chemical Engineering","https://www.scitechnol.com/journal-chemistry-applied-chemical-engineering.php","SciTechnol",2021-05-19
"Journal of Clinical & Experimental Oncology","https://www.scitechnol.com/clinical-experimental-oncology.php","SciTechnol",2021-05-19
"Journal of Clinical & Experimental Radiology","https://www.scitechnol.com/clinical-experimental-radiology.php","SciTechnol",2021-05-19
"Clinical Dermatology Research Journal","https://www.scitechnol.com/clinical-dermatology-research-journal.php","SciTechnol",2021-05-19
"Journal of Clinical Images and Case Reports","clinical-images-case-reports.php","SciTechnol",2021-05-19
"Journal of Clinical Nutrition and Metabolism","journal-clinical-nutrition-metabolism.php","SciTechnol",2021-05-19
"Clinical Oncology: Case Reports","https://www.scitechnol.com/clinical-oncology-case-reports.php","SciTechnol",2021-05-19
"Clinical Research in Orthopedics","https://www.scitechnol.com/clinical-research-orthopedics.php","SciTechnol",2021-05-19
"Journal of Computer Engineering & Information Technology","https://www.scitechnol.com/computer-engineering-information-technology.php","SciTechnol",2021-05-19
"Journal of Defense Studies and Resource Management","https://www.scitechnol.com/defense-studies-resource-management.php","SciTechnol",2021-05-19
"Dental Health: Current Research","https://www.scitechnol.com/dental-health-current-research.php","SciTechnol",2021-05-19
"Journal of Diagnostic Techniques and Biomedical Analysis","https://scitechnol.com/diagnostic-techniques-biomedical-analysis.php","SciTechnol",2021-05-19
"Journal of Electrical Engineering and Electronic Technology","electrical-engineering-electronic-technology.php","SciTechnol",2021-05-19
"Endocrinology & Diabetes Research","https://www.scitechnol.com/endocrinology-and-diabetes-research.php","SciTechnol",2021-05-19
"Journal of Ergonomics Research","journal-ergonomics-research.php","SciTechnol",2021-05-19
"Expert Opinion on Environmental Biology","https://www.scitechnol.com/expert-opinion-on-environmental-biology.php","SciTechnol",2021-05-19
"Journal of Fashion Technology & Textile Engineering","https://www.scitechnol.com/fashion-technology-textile-engineering.php","SciTechnol",2021-05-19
"Journal of Food and Nutritional Disorders","https://www.scitechnol.com/food-nutritional-disorders.php","SciTechnol",2021-05-19
"Journal of Forensic Toxicology & Pharmacology","https://www.scitechnol.com/forensic-toxicology-pharmacology.php","SciTechnol",2021-05-19
"Journal of Genes and Proteins","journal-genes-and-proteins.php","SciTechnol",2021-05-19
"Journal of Genetic Disorders & Genetic Reports","https://www.scitechnol.com/genetic-disorders-genetic-reports.php","SciTechnol",2021-05-19
"Journal of Genital System & Disorders","https://www.scitechnol.com/genital-system-disorders.php","SciTechnol",2021-05-19
"Geoinformatics & Geostatistics: An Overview","https://www.scitechnol.com/geoinformatics-geostatistics-an-overview.php","SciTechnol",2021-05-19
"Journal of Health Informatics & Management","https://www.scitechnol.com/health-informatics.php","SciTechnol",2021-05-19
"HIV and AIDS Research Journal","https://www.scitechnol.com/hiv-aids-research-journal.php","SciTechnol",2021-05-19
"Journal of Hydrogeology & Hydrologic Engineering","https://www.scitechnol.com/hydrogeology-hydrologic-engineering.php","SciTechnol",2021-05-19
"Journal of Immunological Techniques & Infectious Diseases","https://www.scitechnol.com/infectious-diseases-immunological-techniques.php","SciTechnol",2021-05-19
"Journal of Industrial Electronics and Applications","https://www.scitechnol.com/industrial-electronics-applications.php","SciTechnol",2021-05-19
"Journal of Infectious Diseases & Immune Therapies","https://www.scitechnol.com/journal-infectious-diseases-immune-therapies.php","SciTechnol",2021-05-19
"International Journal of Cardiovascular Research","https://www.scitechnol.com/international-journal-of-cardiovascular-research.php","SciTechnol",2021-05-19
"International Journal of Mental Health & Psychiatry","https://www.scitechnol.com/international-journal-of-mental-health-and-psychiatry.php","SciTechnol",2021-05-19
"International Journal of Ophthalmic Pathology","https://www.scitechnol.com/international-journal-of-ophthalmic-pathology.php","SciTechnol",2021-05-19
"International Journal of Theranostics","https://www.scitechnol.com/theranostics-international-journal.php","SciTechnol",2021-05-19
"Journal Plastic Surgery and Cosmetology","https://www.scitechnol.com/plastic-cosmetic-surgery.php","SciTechnol",2021-05-19
"La Prensa Medica","http://scitechnol.com/la-prensa-medica.php","SciTechnol",2021-05-19
