"","journal","url","publisher","date"
"329","American Journal of Orthopsychiatry - APA Publishing | APA","https://www.apa.org/pubs/journals/ort","APA","2021-01-31"
"330","American Psychologist Journal - APA Publishing | APA","https://www.apa.org/pubs/journals/amp","APA","2021-01-31"
"331","Archives of Scientific Psychology","https://www.apa.org/pubs/journals/arc","APA","2021-01-31"
"332","Asian American Journal of Psychology","https://www.apa.org/pubs/journals/aap","APA","2021-01-31"
"333","Behavior Analysis: Research and Practice","https://www.apa.org/pubs/journals/bar","APA","2021-01-31"
"334","Behavioral Development","https://www.apa.org/pubs/journals/bdb","APA","2021-01-31"
"335","Behavioral Neuroscience - APA Publishing | APA","https://www.apa.org/pubs/journals/bne","APA","2021-01-31"
"336","Canadian Journal of Behavioural Science","https://www.apa.org/pubs/journals/cbs","APA","2021-01-31"
"337","Canadian Journal of Experimental Psychology","https://www.apa.org/pubs/journals/cep","APA","2021-01-31"
"338","Canadian Psychology","https://www.apa.org/pubs/journals/cap","APA","2021-01-31"
"339","Clinical Practice in Pediatric Psychology","https://www.apa.org/pubs/journals/cpp","APA","2021-01-31"
"340","Clinical Psychology: Science and Practice","https://www.apa.org/pubs/journals/cps","APA","2021-01-31"
"341","Clinician's Research Digest: Adult Populations","https://www.apa.org/pubs/journals/crd","APA","2021-01-31"
"342","Clinician's Research Digest: Child and Adolescent Populations","https://www.apa.org/pubs/journals/crp","APA","2021-01-31"
"343","Consulting Psychology Journal: Practice and Research","https://www.apa.org/pubs/journals/cpb","APA","2021-01-31"
"344","Couple and Family Psychology: Research and Practice","https://www.apa.org/pubs/journals/cfp","APA","2021-01-31"
"345","Cultural Diversity & Ethnic Minority Psychology","https://www.apa.org/pubs/journals/cdp","APA","2021-01-31"
"346","Decision","https://www.apa.org/pubs/journals/dec","APA","2021-01-31"
"347","Developmental Psychology Journal - APA Publishing | APA","https://www.apa.org/pubs/journals/dev","APA","2021-01-31"
"348","Dreaming","https://www.apa.org/pubs/journals/drm","APA","2021-01-31"
"349","Emotion Journal - APA Publishing | APA","https://www.apa.org/pubs/journals/emo","APA","2021-01-31"
"350","Evolutionary Behavioral Sciences","https://www.apa.org/pubs/journals/ebs","APA","2021-01-31"
"351","Experimental and Clinical Psychopharmacology","https://www.apa.org/pubs/journals/pha","APA","2021-01-31"
"352","Families, Systems, & Health","https://www.apa.org/pubs/journals/fsh","APA","2021-01-31"
"353","Group Dynamics: Theory, Research, and Practice - APA Publishing | APA","https://www.apa.org/pubs/journals/gdn","APA","2021-01-31"
"354","Health Psychology Journal - APA Publishing | APA","https://www.apa.org/pubs/journals/hea","APA","2021-01-31"
"355","History of Psychology - APA Publishing | APA","https://www.apa.org/pubs/journals/hop","APA","2021-01-31"
"356","The Humanistic Psychologist","https://www.apa.org/pubs/journals/hum","APA","2021-01-31"
"357","International Journal of Play Therapy","https://www.apa.org/pubs/journals/pla","APA","2021-01-31"
"358","International Journal of Stress Management","https://www.apa.org/pubs/journals/str","APA","2021-01-31"
"359","Journal of Abnormal Psychology - APA Publishing | APA","https://www.apa.org/pubs/journals/abn","APA","2021-01-31"
"360","Journal of Applied Psychology - APA Publishing | APA","https://www.apa.org/pubs/journals/apl","APA","2021-01-31"
"361","Journal of Comparative Psychology","https://www.apa.org/pubs/journals/com","APA","2021-01-31"
"362","Journal of Consulting and Clinical Psychology - APA Publishing | APA","https://www.apa.org/pubs/journals/ccp","APA","2021-01-31"
