publisher	issn	journal	role	editor	affiliation	orcid	url	date
eLife	2050-084X	eLife	Editor-in-Chief	Michael B Eisen	HHMI, University of California, Berkeley, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Deputy editors	Anna Akhmanova	Utrecht University, Netherlands	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Deputy editors	Timothy Behrens	University of Oxford, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Deputy editors	Diane M Harper	University of Michigan, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Deputy editors	Detlef Weigel	Max Planck Institute for Developmental Biology, Germany	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Deputy editors	Mone Zaidi	Icahn School of Medicine at Mount Sinai, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Richard Aldrich	The University of Texas at Austin, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Ricardo Azziz	University at Albany, SUNY, United StatesUniversity of Alabama at Birmingham, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Chris I Baker	National Institute of Mental Health, National Institutes of Health, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Utpal Banerjee	University of California, Los Angeles, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Naama Barkai	Weizmann Institute of Science, Israel	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Matthias Barton	University of Zurich, Switzerland	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Balram Bhargava	Indian Council of Medical Research, India	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Marianne E Bronner	California Institute of Technology, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Christian Büchel	University Medical Center Hamburg-Eppendorf, Germany	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Ronald L Calabrese	Emory University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Nancy Carrasco	Vanderbilt University School of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Kathryn Cheah	The University of Hong Kong, Hong Kong SAR China	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Lu Chen	Stanford University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Jeannie Chin	Baylor College of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Philip Cole	Harvard Medical School, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Laura Colgin	The University of Texas at Austin Center for Learning and Memory, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Jonathan A Cooper	Fred Hutchinson Cancer Research Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Miles P Davenport	University of New South Wales, Australia	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Floris de Lange	Donders Institute for Brain, Cognition and Behaviour, Netherlands	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Claude Desplan	New York University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Betty Diamond	The Feinstein Institute for Medical Research, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Volker Dötsch	Goethe University, Germany	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Catherine Dulac	Harvard University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Wafik S El-Deiry	Brown University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	José Faraldo-Gómez	National Institutes of Health, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Eduardo Franco	McGill University, Canada	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Michael J Frank	Brown University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Wendy S Garrett	Harvard T.H. Chan School of Public Health, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Joshua I Gold	University of Pennsylvania, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Erica Golemis	Fox Chase Cancer Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	John Huguenard	Stanford University School of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Carlos Isales	Medical College of Georgia at Augusta University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Richard Ivry	University of California, Berkeley, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	David James	University of Sydney, Australia	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Bavesh Kana	University of the Witwatersrand, South Africa	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Andrew J King	University of Oxford, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Jürgen Kleine-Vehn	University of Freiburg, Germany	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Christian R Landry	Université Laval, Canada	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Y M Dennis Lo	The Chinese University of Hong Kong, Hong Kong SAR China	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Tamar Makin	University College London, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Vivek Malhotra	The Barcelona Institute of Science and Technology, Spain	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	James Manley	Columbia University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Tirin Moore	Howard Hughes Medical Institute, Stanford University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Edward Morrisey	University of Pennsylvania, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Paul W Noble	Cedars-Sinai Medical Centre, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Päivi Ojala	University of Helsinki, FinlandImperial College London, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	George H Perry	Pennsylvania State University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Suzanne R Pfeffer	Stanford University School of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Martin Pollak	Harvard Medical School, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Molly Przeworski	Columbia University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Satyajit Rath	Indian Institute of Science Education and Research (IISER), Pune, India	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	W Kimryn Rathmell	Vanderbilt University Medical Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Peter A Rodgers	Features Editor, eLife, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Jonathan Roiser	University College London, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	David Ron	Cambridge University, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Carla V Rothlin	Yale University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Christian Rutz	University of St Andrews, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Sara L Sawyer	University of Colorado Boulder, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Meredith C Schuman	University of Zurich, Switzerland	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Piali Sengupta	Brandeis University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	David Serwadda	Makerere University School of Public Health, Uganda	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Barbara G Shinn-Cunningham	Carnegie Mellon University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Dominique Soldati-Favre	University of Geneva, Switzerland	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Didier Stainier	Max Planck Institute for Heart and Lung Research, Germany	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Gisela Storz	National Institute of Child Health and Human Development, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Kevin Struhl	Harvard Medical School, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Kenton J Swartz	National Institute of Neurological Disorders and Stroke, NIH, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Michael Taffe	University of California, San Diego, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Tadatsugu Taniguchi	Research Center for Advanced Science and Technology, The University of Tokyo, Japan	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Jessica Tyler	Weill Cornell Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Jos WM van der Meer	Radboud University Medical Centre, Netherlands	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	K VijayRaghavan	National Centre for Biological Sciences, Tata Institute of Fundamental Research, India	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Aleksandra Walczak	Ecole Normale Superieure, France	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Kate Wassum	University of California, Los Angeles, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Gary Westbrook	Vollum Institute, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Richard M White	Memorial Sloan Kettering Cancer Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Ma-Li Wong	State University of New York Upstate Medical University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Founding Editor-in-Chief	Randy Schekman	Founding Editor-in-Chief, HHMI, University of California, Berkeley, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Anna Akhmanova	Utrecht University, Netherlands	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Richard Aldrich	The University of Texas at Austin, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Nancy Carrasco	Vanderbilt University School of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Philip Cole	Harvard Medical School, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Volker Dötsch	Goethe University, Germany	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	José Faraldo-Gómez	National Institutes of Health, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	David James	University of Sydney, Australia	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Vivek Malhotra	The Barcelona Institute of Science and Technology, Spain	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Suzanne R Pfeffer	Stanford University School of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	David Ron	Cambridge University, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Dominique Soldati-Favre	University of Geneva, Switzerland	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Kenton J Swartz	National Institute of Neurological Disorders and Stroke, NIH, United States	NA	https://elifesciences.org/about/people	2022-02-15
