publisher	journal	role	editor	orcid	affiliation	url	date
Hindawi	Abstract and Applied Analysis	Chief Editor	Patricia J. Y. Wong	0000-0001-8375-5553	Nanyang Technological University, Singapore	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Douglas R. Anderson	0000-0002-3069-2816	Concordia College, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Jozef Banas	0000-0002-2838-5569	Rzeszów University of Technology, Poland	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Okay Celebi	0000-0001-5256-1035	Yeditepe University, Turkey	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Wing-Sum Cheung	0000-0002-3206-6552	University of Hong Kong, Hong Kong	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Juan Carlos Cortés	0000-0002-6528-2155	Universitat Politècnica de València, Spain	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Fasma Diele	0000-0002-4846-2795	Italian National Research Council, Italy	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Alexander Domoshnitsky	0000-0002-8114-7084	Ariel University Center of Samaria, Israel	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Jewgeni Dshalalow	0000-0002-4527-4553	Florida Institute of Technology, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Wei-Shih Du	0000-0001-8996-2270	National Kaohsiung Normal University, Taiwan	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Jacek Dziok	0000-0003-1482-1080	University of Rzeszów, Poland	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Paul Eloe	0000-0002-6590-9931	University of Dayton, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Khalil Ezzinbi	NA	Universite Cadi Ayyad, Morocco	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Ilari Filpponen	NA	Auburn University, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Alberto Fiorenza	0000-0003-2240-5423	Federico II University of Naples, Italy	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	A. Ghareeb	0000-0002-6093-0475	Mathematics Department, Faculty of Science, South Valley University, Egypt	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Jaume Giné	0000-0001-7109-2553	Universitat de Lleida, Spain	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Valery Y. Glizer	NA	ORT Braude College, Israel	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Christopher S. Goodrich	NA	UNSW Sydney, Australia	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Narendra K. Govil	0000-0002-0589-9620	Auburn University, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Gueo Grantcharov	0000-0001-9942-728X	Florida International University, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Arcadii Z. Grinshpan	0000-0001-6550-1197	University of South Florida, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Janne Heittokangas	0000-0002-2349-1557	University of Eastern Finland, Finland	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Ying Hu	0000-0002-1080-2600	Université Rennes 1, France	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Lucas Jodar	0000-0002-9672-6249	Universitat Politécnica de Valencia, Spain	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Victor Kovtunenko	0000-0001-5664-2625	Karl-Franzens-University of Graz, Austria	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Devendra Kumar	NA	Department of Mathematics, JECRC University, India	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Miroslaw Lachowicz	NA	University of Warsaw, Poland	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Dumitru Motreanu	NA	Universite de Perpignan, France	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Gaston Mandata N’guérékata	0000-0001-5765-7175	Morgan State University, USA	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Donal O'Regan	NA	National University of Ireland, Ireland	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Micah Osilike	0000-0001-7860-4216	University of Nigeria, Nigeria	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Roberto Paoletti	0000-0002-9595-2965	University of Milano-Bicocca, Italy	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
