publisher	journal	issn	role	editor	orcid	affiliation	url	date
John Benjamins	AILA Review	1461-0213	Editor	Ee-Ling Low	NA	National Institute of Education, Singapore	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Branca Falabella Fabrício	NA	Federal University of Rio de Janeiro	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Limin Jin	NA	Beijing Foreign Studies University	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Rosa M. Manchón	0000-0001-8458-168X	University of Murcia	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Barbara Seidlhofer	NA	University of Vienna	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editor	Chris J. Vargo	NA	University of Colorado Boulder, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Associate Editor	Annelise Russell	0000-0002-8417-1709	University of Kentucky, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Lindita Camaj	0000-0002-5934-6159	The University of Houston, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Salma I. Ghanem	0000-0001-8959-9563	DePaul University, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Lei Guo	NA	Boston University, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Tom Johnson	NA	The University of Texas at Austin, USA 	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Maxwell E. McCombs	0000-0001-5292-0958	The University of Texas at Austin, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Sharon Meraz	NA	University of Illinois at Chicago, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Tania Rosas-Moreno	0000-0002-6257-7871	Loyola University Maryland, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Donald L. Shaw	NA	The University of North Carolina at Chapel Hill, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	David Weaver	NA	Indiana University Bloomington, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editors	Zia Tajeddin	0000-0002-0430-6408	Tarbiat Modares University	https://benjamins.com/catalog/ap	2022-01-20
