publisher	issn	journal	role	editor	affiliation	orcid	url	date
PeerJ	2167-8359	PeerJ	Academic Editors	Virginia Abdala	CONICET- Facultad de Ciencias Naturales e IML. Universidad Nacional de Tucuman. Argentina	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Ola Abdelwahab	National Institute of Oceanography and Fisheries	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Jafri M. Abdullah	Universiti Sains Malaysia	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Ashith B Acharya	SDM College of Dental Sciences & Hospital	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Pragyan Acharya	All India Institute of Medical Sciences	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Daniel Adesse	Fundação Oswaldo Cruz	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Kabindra Adhikari	USDA-Agricultural Research Service	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Tika Adhikari	North Carolina State University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Mohd Adnan	University of Hail	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Supreet Agarwal	National Cancer Institute	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Spiros N Agathos	Université Catholique de Louvain	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Sergio Agnoli	University of Trieste	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Irina U Agoulnik	Florida International University College of Medicine	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Abinash Agrawal	Wright State University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Susana Agusti	King Abdullah University of Science and Technology	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Arti Ahluwalia	University of Pisa	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Jyrki Ahveninen	Massachusetts General Hospital	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Arsham Alamian	University of Miami	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Sonja-Verena Albers	University of Freiburg	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Maria Cristina Albertini	University of Urbino	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Dawn N Albertson	Minnesota State University, Mankato	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Yumna Albertus	University of Cape Town	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	André Aleman	The University Medical Center Groningen	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Silvia Alessi-Severini	University of Manitoba	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Ludmil B Alexandrov	University of California, San Diego	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Veerasathpurush Allareddy	The University of Iowa	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Rachel L. Allen	St George's, University of London	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Heike Allgayer	Dept. of Experimental Surgery	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Raquel Almeida	Institute of inovation and Investigation in Health (i3S)	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Maria Almuedo-Castillo	Centro Andaluz de Biología del Desarrollo	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Christian L Althaus	University of Bern	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Zekiye Sultan Altun	Dokuz Eylül University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Rubén Rellán Álvarez	Cinvestav	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Javier Alvarez-Rodriguez	University of Lleida	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Sharif S Aly	University of California, Davis	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Jose Amador	University of Rhode Island	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Zandrea Ambrose	University of Pittsburgh	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Anthony S Amend	University of Hawaii at Manoa	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Antonio Amorim	Universidade do Porto	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Marc Amyot	Université de Montréal	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Vivek Anantharaman	NCBI, National Institutes of Health, Bethesda, MD	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Claudio Andaloro	University of Udine	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Todd A Anderson	Texas Tech University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Gerhard Andersson	Linköping University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	My S Andersson	Lund University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Nigel R Andrew	University of New England	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Alexandre Anesio	University of Bristol	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Maria Anisimova	Zurich University of Applied Sciences, Switzerland	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Jérémy Anquetin	JURASSICA Museum	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Mahmood-ur-Rahman Ansari	Government College University, Faisalabad	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Rodolfo Aramayo	Texas A&M University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Praveen Arany	University at Buffalo	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Elizabeth A Archie	University of Notre Dame	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Luca P Ardigò	University of Verona	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Avelino F Arellano	University of Arizona	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
