editor	role	affiliation	journal	issn	publisher	url	date	orcid
Anders Hedenström	Editorial Board	Lund University, Sweden Biomechanics, flight, aerodynamics, movement, migration, ecology and evolution of animal flight, high-speed wing motion analysis, airflow visualization, force measurement	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Graham Taylor	Editorial Board	University of Oxford, UK Biomechanics, flight dynamics, swimming, control systems, sensory systems, sensory ecology (also: avian palaeontology, animal navigation, migration)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Connie Eaves	Editorial Board	Terry Fox Laboratory, Canada Hematopoiesis, leukemic stem cells, chronic myeloid leukemia, breast cancer, mammary stem cells, transplantation, single cell studies	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Albana Gattelli 	Editorial Board	Ciudad Universitaria, Facultad de Ciencias Exactas y Naturales (FCEN), Argentina<U+200B> Breast and other solid cancers, cancer signalling and cancer immunology, mammary gland development (also: cell proliferation, migration and motility)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Monika Hegi	Editorial Board	University of Lausanne, Switzerland Glioblastoma, brain tumours, epigenetics	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Pascal Meier	Editorial Board	Institute of Cancer Research, London, UK Cell death and inflammation, cancer, ubiquitin-mediated regulation of cell survival, cancer therapeutics	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Mario Suva	Editorial Board	Harvard University, USA Glioblastoma, genomics, single cell analysis	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Matt van de Rijn	Editorial Board	Stanford University School of Medicine, USA Prognostic markers in sarcoma and cancer, cancer genomics	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Hilary Coller	Editorial Board	University of California, Los Angeles, USA Molecular basis of quiescent cells; cancer-associated fibroblasts, genomic approaches to cell cycle and cancer	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Bruce Edgar	Editorial Board	University of Utah, USA Drosophila cell growth, cell cycle, intestinal stem cell regulation, TOR signaling	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Marcos Malumbres	Editorial Board	<U+200B>CNIO, Spain Cell cycle, cell division/proliferation and cell differentiation, cell growth, mitosis, cancer metabolism, microcephaly (also: microRNAs, pluripotent stem cells)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
David Pellman 	Editorial Board	Advisory Board MemberDana-Farber Cancer Institute, USA Cell division, genome stability, chromosome segregation, cytoskeletal dynamics	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Jon Pines	Editorial Board	Institute of Cancer Research, London, UK Cancer, mitosis, chromosome segregation, cyclins	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Sarah Zanders 	Editorial Board	Stowers Institute for Medical Research, USA Molecular genetics and evolution; meiosis, meiotic drive, meiotic recombination, and genome evolution (also: fungal genomes and fungal evolution)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Mathieu Bertrand	Editorial Board	VIB Center for Inflammation Research, University of Ghent, Belgium Signal transduction, cell death, inflammation, innate immune receptors, tumor necrosis factor receptors (TNFRs)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Ana Garcia-Sáez 	Editorial Board	CECAD Research Center<U+200B>, University of Cologne, Germany Membrane biology and organization, regulated cell death, Bcl-2 proteins, membrane dynamics and biophysics, single molecule techniques, fluorescence correlation spectroscopy, super resolution microscopy, FRAP, FRET, live cell imaging, model membrane systems	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Hans-Uwe Simon  	Editorial Board	University of Bern, Switzerland<U+200B> Role of apoptosis and autophagy in inflammatory diseases and cancer; innate immunity, inflammation, allergy, eosinophils, neutrophils, neutrophil extracellular traps, autophagy, immunopharmacology	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Anna Huttenlocher 	Editorial Board	University of Wisconsin-Madison, USA Cell migration, chemotaxis, innate immunity and inflammation, zebrafish immunity, wound healing and cancer biology, leukocyte migration, regeneration	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Laura Machesky	Editorial Board	The Beatson Institute for Cancer Research, UK Cell migration, invasion, metastasis, actin cytoskeleton	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Carole Parent 	Editorial Board	The University of Michigan, USA Cell migration, amoeboid migration in Dictyostelium and neutrophils, signal transduction, GPCR signaling, cytoskeleton dynamics, live cell imaging (also: metastatic migration and invasion)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Renata Basto	Editorial Board	Institut Curie, France Centriole and cilia biogenesis, microtubule organising center, stem cells, cancer	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Dagmar Wachten	Editorial Board	University of Bonn, Germany Cilia biology, including sperm and primary cilia; ciliary signaling and ciliary function in health and disease; cell biology including cylic nucleotide signaling; optogenetics and high-resolution microscopy	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Marianne Bronner	Editorial Board	California Institute of Technology, USA Developmental neurobiology, neural crest, epigenetics of development, evo-devo, early patterning and morphogenesis (also: stem cell biology, cell biology, neuroscience)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Kim Cooper	Editorial Board	University of California, San Diego, USA Limb development, musculoskeletal development, skeletal growth, bone reshaping; evolution and development; non-traditional model system - the Lesser Egyptian Jerboa, Jaculus jaculus	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Cecilia Lo	Editorial Board	University of Pittsburgh, USA Cardiovascular development, congenital heart disease, cilia biology, ciliopathies, left-right patterning, mouse models, developmental genetics (also: neurodevelopment, live cell and embryo imaging, general embryology, gap junction biology)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Mary Mullins	Editorial Board	University of Pennsylvania, USA BMP, development, vertebrate body plan	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Emma Rawlins	Editorial Board	Gurdon Institute, University of Cambridge, UK Developmental biology (lung development and similar organs), organogenesis in vertebrates, adult stem cell biology (also: cell fate decisions in model organisms e.g. Drosophila, stem cell-related cancer biology, cell biology)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Yi-Hsien Su	Editorial Board	Academia Sinica, Taiwan Evolution of the gene regulatory circuitries patterning body axes and specifying cell fates, early embryogenesis, BMP signaling, developmental mechanisms of deuterostomes (echinoderm sea urchin, hemichordate acorn worm)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
Nic Tapon	Editorial Board	The Francis Crick Institute, UK Tissue growth control, morphogenesis in model organisms, Hippo pathway, organ size and shape control (also: cell polarity, cell cycle, programmed cell death, mechanotransduction, cellular signalling in development, coupling between growth and nutrition, actin cytoskeleton)	PLOS Biology	1544-9173	PLOS	https://journals.plos.org/plosbiology/s/editorial-board	2022-01-18	NA
