editor	role	affiliation	journal	issn	publisher	url	date	orcid
Emma Archer	Editorial Board	University of Pretoria Pretoria, South Africa	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Jamie Males	Editorial Board	Public Library of Science Cambridge, UK Jamie received a BA in Biological Sciences from the University of Oxford, where he developed a fascination with plant ecophysiology, before undertaking a PhD in Plant Sciences at the University of Cambridge. His doctoral research focused on the physiological drivers of climatic niches in tropical plants. He has performed fieldwork in the Caribbean, Central America, Mexico, and Australia, and has participated in a range of science education and outreach initiatives. Through interacting with researchers in a wide range of countries and contexts, Jamie developed a keen interest in Open Access and Open Science, leading him to join PLOS in June 2017.	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Benjamin Bechtel	Editorial Board	Ruhr-University Bochum- Germany	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-8802-7934
Mark Budolfson	Editorial Board	Rutgers University USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Andre Chiaradia	Editorial Board	Monash University Australia	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Shobhakar Dhakal	Editorial Board	Asian Institute of Technology Thailand	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-4007-6785
Paul Harris	Editorial Board	Education University of Hong Kong Hong Kong	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-3647-5692
Juliet Hermes	Editorial Board	University of Cape Town South Africa	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Valerie Kapos	Editorial Board	UNEP-WCMC UK	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-5739-8262
Kris Karnauskas	Editorial Board	University of Colorado, Boulder USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-8121-7321
Christian Klöckner	Editorial Board	NTNU Norway	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-4510-1748
Nana Klutse	Editorial Board	University of Ghana Ghana	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-5156-2765
Denia Kolokotsa	Editorial Board	Technical University of Crete Greece	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Joanna Lewis	Editorial Board	Georgetown University USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Ana Maria Loboguerrero	Editorial Board	CGIAR Colombia	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2690-0763
Pamela McElwee	Editorial Board	Rutgers University USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-3525-9285
Burcu Özsoy	Editorial Board	Istanbul Technical University Turkey	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Martin Patel	Editorial Board	University of Geneva Switzerland	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Anjal Prakash	Editorial Board	Indian School of Business India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-3749-0854
Graciela Raga	Editorial Board	UNAM Mexico	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-4295-4991
Sheona Shackleton	Editorial Board	University of Cape Town South Africa	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-6133-9070
Anna Stewart-Ibarra	Editorial Board	Inter-American Institute for Global Change Research Uruguay	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-3383-4672
Hossein Tabari	Editorial Board	KU Leuven Belgium	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2052-4541
Ferdous Ahmed	Editorial Board	IUBAT Bangladesh	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-8737-8142
Bharath Aithal	Editorial Board	Indian Institute of Technology Kharagpur India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-4323-6254
Duc-Anh An-Vo	Editorial Board	University of Southern Queensland Australia	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Juan Añel	Editorial Board	University of Vigo Spain	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2448-4647
Irfan Ashraf	Editorial Board	Arid Agriculture University Pakistan	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-4794-3754
Oleg Askeyev	Editorial Board	Institute of Problems in Ecology and Mineral Wealth, Tatarstan Academy of Sciences Russia	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-6589-0479
Santanu Kumar Bal	Editorial Board	ICAR - Central Research Institute for Dryland Agriculture India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-0521-1347
Hilary Bambrick	Editorial Board	Queensland University of Technology Australia	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-5361-950X
Anamika Barua	Editorial Board	Indian Institute of Technology, Guwahati India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-7550-2166
Suborna Barua	Editorial Board	University of Dhaka Bangladesh	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2848-5700
