editor	role	affiliation	journal	issn	publisher	url	date	orcid
Feilim Mac Gabhann	Editorial Board	Johns Hopkins University Baltimore, MD, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Jason Papin	Editorial Board	University of Virginia Charlottesville, VA, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Virginia Pitzer	Editorial Board	Yale School of Public Health New Haven, CT, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Ruth Nussinov	Editorial Board	National Cancer Institute Frederick, MD, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Philip E. Bourne	Editorial Board	University of Virginia Charlottesville, VA, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Steven E. Brenner	Editorial Board	University of California, Berkeley Berkeley, CA, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Michael Eisen	Editorial Board	University of California, Berkeley Berkeley, CA, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Mark Alber	Editorial Board	University of California, Riverside Riverside, CA, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Daniel Beard	Editorial Board	University of Michigan Ann Arbor, MI, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Kim “Avrama” Blackwell	Editorial Board	Krasnow Institute for Advanced Study, George Mason University Fairfax, VA, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Nir Ben-Tal	Editorial Board	Tel Aviv University Tel Aviv, Israel	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Rob J. de Boer	Editorial Board	Utrecht University Utrecht, The Netherlands	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Tom Britton	Editorial Board	Stockholms Universitet Stockholm, Sweden	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Wolfgang Einhäuser	Editorial Board	Chemnitz, Germany	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Arne Elofsson	Editorial Board	Stockholm University Stockholm, Sweden	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Nina Fefferman	Editorial Board	University of Tennessee Knoxville Knoxville, TN, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Samuel J. Gershman	Editorial Board	Harvard University Cambridge, MA, USA	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
Lyle J. Graham	Editorial Board	Université Paris Descartes, Centre National de la Recherche Scientifique Paris, France	PLOS Computational Biology	1553-7358	PLOS	https://journals.plos.org/ploscompbiol/s/editorial-board	2022-01-18	NA
