editor	role	affiliation	journal	issn	publisher	url	date	orcid
Catherine Kyobutungi	Editorial Board	African Population and Health Research Center (APHRC) Nairobi, Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-5344-5631
Madhukar Pai	Editorial Board	McGill University Montreal, QC, Canada	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-4134-8463
Julia Robinson	Editorial Board	Public Library of Science San Francisco, CA, USA	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-0719-3995
Seye Abimbola	Editorial Board	University of Sydney Australia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-1294-3850
Tammam Aloudat	Editorial Board	The Graduate Institute of International and Development Studies Switzerland	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9645-5883
Nisreen Alwan	Editorial Board	University of Southampton United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-4134-8463
Nahid Bhadelia	Editorial Board	Boston University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Anant Bhan	Editorial Board	Yenepoya University India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Rochelle Burgess	Editorial Board	University College London United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9749-7065
Dixon Chibanda	Editorial Board	Harare Central Hospital Zimbabwe	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Amrita Daftary	Editorial Board	York University Canada	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-2275-3540
Ngozi Erondu	Editorial Board	Georgetown University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Patricia Garcia	Editorial Board	Universidad Peruana Cayetano Heredia Peru	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Renzo Guinto	Editorial Board	St Luke's Medical Center College of Medicine Philippines	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-3181-0423
Sophie Harman	Editorial Board	Queen Mary University of London United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5708-280X
Chimaraoke Izugbara	Editorial Board	International Center for Research on Women United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4908-1131
Sudha Jayaraman	Editorial Board	The University of Utah School of Medicine United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-1094-5836
Fyezah Jehan	Editorial Board	Aga Khan University Pakistan	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-5874-4358
Ayesha Kadir	Editorial Board	Save the Children UK United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Judy Khanyola	Editorial Board	Rwanda	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Elizabeth Wambui Kimani-Murage	Editorial Board	African Population and Health Research Center (APHRC) Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Krutika Kuppalli	Editorial Board	Medical University of South Carolina United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Laila Ladak	Editorial Board	The Aga Khan University Pakistan	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Salome Maswime	Editorial Board	University of Cape Town South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Faye McMillan	Editorial Board	Australia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Purnima Menon	Editorial Board	India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Rhona Mijumbi-Deve	Editorial Board	Makerere University Uganda	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Christine Ngaruiya	Editorial Board	Yale University School of Medicine United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-4583-0986
