editor	role	affiliation	journal	issn	publisher	url	date	orcid
Jean Adams	Editorial Board	University of Cambridge, Cambridge United Kingdom	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Elizabeth Ashley	Editorial Board	Mahidol-Oxford Tropical Medicine Research Unit (MORU), Bangkok Thailand	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Ruanne Barnabas	Editorial Board	University of Washington, Seattle United States	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Sanjay Basu	Editorial Board	Center for Primary Care, Harvard Medical School Boston, MA, USA	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
James Beeson	Editorial Board	Burnet Institute, Melbourne Australia	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Chris Beyrer	Editorial Board	Johns Hopkins Bloomberg School of Public Health Baltimore, MD, USA	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Zulfiqar A. Bhutta	Editorial Board	Aga Khan University, Karachi Pakistan	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Carol Brayne	Editorial Board	University of Cambridge, Cambridge United Kingdom	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
James Brenton	Editorial Board	Cancer Research UK Cambridge Institute, Cambridge United Kingdom	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Karim Brohi	Editorial Board	Queen Mary University of London, London United Kingdom	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
Suzanne C. Cannegieter	Editorial Board	Leiden University Medical Center, Leiden The Netherlands	PLOS Medicine	1549-1277	PLOS	https://journals.plos.org/plosmedicine/s/editorial-board	2022-01-18	NA
