editor	role	affiliation	journal	issn	publisher	url	date	orcid
Shaden Kamhawi	Editorial Board	Vector Molecular Biology National Institutes of Health Rockville, MD, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Paul Brindley	Editorial Board	Immunology and Tropical Medicine  George Washington University (GW) Washington, D.C, USA 	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Kendall McKenzie	Editorial Board	Public Library of Science San Francisco, CA, USA Kendall McKenzie is the Managing Editor for PLOS Neglected Tropical Diseases and PLOS Sustainability and Transformation. She holds a Master of Fine Arts in Creative Writing from Queens University of Charlotte. Kendall has worked in scholarly publishing since 2013, beginning her career at Duke University Press as a Library Sales Coordinator. She joined PLOS in 2017, and has enjoyed working closely with the journal communities, driving journal strategy forward in order to advocate for these communities in the best way possible. 	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Peter J. Hotez	Editorial Board	National School of Tropical Medicine, Department of Pediatrics Baylor College of Medicine, Texas Children's Hospital Houston, TX, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Serap Aksoy (2008 – 2019)	Editorial Board	X Epidemiology of Microbial Diseases Yale School of Public Health New Haven, CT, USA 	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Judd Walson (2018 – 2019)	Editorial Board	Departments of Global Health, Medicine, Pediatrics and Epidemiology University of Washington Seattle, WA, USA 	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Alvaro Acosta-Serrano	Editorial Board	Departments of Parasitology and Vector Biology Liverpool School of Tropical Medicine Liverpool, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Sylvie Alonso	Editorial Board	National University of Singapore Singapore	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Benjamin Althouse	Editorial Board	Institute for Disease Modeling Bellevue, WA, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Andrew Azman	Editorial Board	Johns Hopkins Bloomberg School of Public Health Baltimore, MD, USA 	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Ashley C . Banyard	Editorial Board	Department of Virology Animal and Plant Health Agency (APHA) Weybridge, New Haw, Surrey, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Armanda Bastos	Editorial Board	Department of Zoology and Entomology University of Pretoria Pretoria, South Africa	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Elizabeth Batty	Editorial Board	Mahidol-Oxford Tropical Medicine Research Unit Bangkok, Thailand and University of Oxford Oxford, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Nigel Beebe	Editorial Board	University of Queensland Brisbane, Australia and CSIRO, Health and Biosecurity Queensland, Australia	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Dennis A Bente	Editorial Board	University of Texas Medical Branch – Galveston National Laboratory Texas, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Stuart Blacksell	Editorial Board	Mahidol University Bangkok, Thailand and Nuffield Department of Medicine University of Oxford Oxford, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Jörg Blessman	Editorial Board	Bernhard Nocht Institute for Tropical Medicine Hamburg, Germany	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
