editor	affiliation	orcid	role	journal	issn	publisher	url	date
Ishag Adam	Unaizah College of Medicine and Medical Sciences, Qassim University Kingdom of Saudi Arabia	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Juan Antonio Añel 	Universidade de Vigo and University of Oxford Spain and United Kingdom	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Shah Md Atiqul Haq	Department of Sociology, Shahjalal University of Science and Technology, Sylhet Bangladesh	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Vipul Bansal	Ian Potter NanoBioSensing Facility, NanoBiotechnology Research Laboratory, and RMIT University Australia	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Baruch Barzel	Bar-Ilan University Israel	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Vladimir Brusic	Dana-Farber Cancer Institute and Boston University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Emmanuel A. Burdmann	University of São Paulo Medical School Brazil	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Johnson Chun-Sing Cheung	The University of Hong Kong Hong Kong	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Mark Cookson	National Institutes of Health United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Lee Cooper	NA	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Nils Cordes	Dresden University of Technology and OncoRay - National Center for Radiation Research in Oncology Germany	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Angelo Brandelli Costa	Pontificia Universidade Catolica do Rio Grande do Sul Brazil	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
