editor	role	affiliation	journal	issn	publisher	url	date	orcid
Kasturi Haldar	Editorial Board	University of Notre Dame Notre Dame, IN, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Michael Malim	Editorial Board	King’s College London London, UK	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Blossom Damania	Editorial Board	Section EditorDNA Virology	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Benhur Lee	Editorial Board	Section EditorRNA Virology	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Wenbo Ma	Editorial Board	Section EditorPlant Pathogens	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Aaron Mitchell	Editorial Board	Senior Reviews EditorMycology	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Susan R. Ross	Editorial Board	Section EditorHIV/Retroviruses	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Nina Salama	Editorial Board	Section EditorGram-Negative Bacteriology	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Dominique Soldati-Favre	Editorial Board	Section EditorParasitology	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Michael Wessels	Editorial Board	Section EditorGram-Positive Bacteriology	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Raul Andino	Editorial Board	University of California, San Francisco San Francisco, CA, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Alex Andrianopoulos	Editorial Board	University of Melbourne Melbourne, Victoria, Australia	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
François Balloux	Editorial Board	University College London London, United Kingdom	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Christopher F. Basler	Editorial Board	Georgia State University Atlanta, GA, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Sonja Best	Editorial Board	National Institute of Allergy and Infectious Diseases Hamilton, MT, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Vern B. Carruthers	Editorial Board	University of Michigan Ann Arbor, MI, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Sara Cherry	Editorial Board	University of Pennsylvania Philadelphia, PA, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
James Collins	Editorial Board	University of Texas Southwestern Medical Center Dallas, TX, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Brian Coombes	Editorial Board	McMaster University Hamilton, Ontario, Canada	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Blossom Damania	Editorial Board	University of North Carolina At Chapel Hill Chapel Hill, NC, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
Kirk Deitsch	Editorial Board	Weill Medical College, Cornell University New York, NY, USA	PLOS Pathogens	1553-7366	PLOS	https://journals.plos.org/plospathogens/s/editorial-board	2022-01-18	NA
