editor	role	affiliation	journal	issn	publisher	url	date	orcid
Lian Pin Koh	Editorial Board	National University of Singapore Singapore	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	NA
Kendall McKenzie	Editorial Board	Public Library of Science San Francisco, CA, USA Kendall McKenzie is the Managing Editor for PLOS Neglected Tropical Diseases and PLOS Sustainability and Transformation. She holds a Master of Fine Arts in Creative Writing from Queens University of Charlotte. Kendall has worked in scholarly publishing since 2013, beginning her career at Duke University Press as a Library Sales Coordinator. She joined PLOS in 2017, and has enjoyed working closely with the journal communities, driving journal strategy forward in order to advocate for these communities in the best way possible. 	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	NA
Jose Carlos Baez	Editorial Board	Spanish Institute of Oceanography (IEO, CSIC) Spain	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-2049-0409
Catherine Bale	Editorial Board	University of Leeds UK	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-2413-0673
Winston Chow	Editorial Board	Singapore Management University Singapore	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-1819-597X
Steven J. Cooke	Editorial Board	<U+200B> Carleton University Ottawa, ON, Canada	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-5407-0659
Rebecca Cunningham	Editorial Board	University of Technology Sydney Australia	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-8066-9019
Wei-Ta Fang	Editorial Board	National Taiwan Normal University Taiwan	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-4460-0652
Brendan Fisher	Editorial Board	University of Vermont USA	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-6560-9093
Alexandros Gasparatos	Editorial Board	University of Tokyo Japan	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-9323-1366
Isabel Marques	Editorial Board	Instituto Superior de Agronomia PortugalSection: Environmental sustainability	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-9788-4831
Lee Tien Ming	Editorial Board	Sun Yat-sen University China	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-2698-9358
Abiodun Olusola Omotayo	Editorial Board	North West University South Africa	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-4423-9983
Chloë Montes Strevens	Editorial Board	University of Oxford UK	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-1468-5691
Elena Tamburini	Editorial Board	University of Ferrara Ferrara, Italy	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-2902-2612
Ze-Chun Yuan	Editorial Board	Agriculture and Agri-Food Canada Canada	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-2685-1669
Dominic A. Martin	Editorial Board	University of Bern Switzerland	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-7197-2278
Alba Avila	Editorial Board	Universidad de los Andes Columbia	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-1241-2080
Semra Benzer	Editorial Board	Gazi University Turkey	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-8548-8994
Alka Bharat	Editorial Board	Maulana Azad National Institute of Technology India	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-2421-1884
Paola D'Orazio	Editorial Board	Ruhr Universität Bochum Germany	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-3660-2877
Ana Delicado	Editorial Board	University of Lisbon (ICS-UL) Portugal	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-9657-396X
Grant Hamilton	Editorial Board	Queensland Univesrsity of Technology Australia	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-8445-0575
Jinkyu Hong	Editorial Board	Yonsei University Korea	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-0139-602X
Chandra Prakash Kala	Editorial Board	Indian Institute of Forest Management India	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-7792-8646
