editor	role	affiliation	journal	issn	publisher	url	date	orcid
Jenna Davis	Editorial Board	Stanford University Stanford, CA, USA Jennifer (“Jenna”) Davis (MPH, PhD) is a Professor in the Department of Civil and Environmental Engineering, the Higgins-Magid Senior Fellow at the Woods Institute for the Environment, both of Stanford University. With a background in public health, infrastructure planning, and environmental science &amp; engineering, Davis works at the interface of engineered infrastructure systems and their users, particularly in the water sector of low- and middle-income countries. With her research group Davis has conducted fieldwork in more than 20 countries, developing and testing strategies to stimulate investment in and enhance long-term sustainability of water supply and sanitation services from the household to the national scale. Other research quantifies the economic and health impacts of service improvements and identifies the conditions under which such benefits are maximized. Davis served on the Millennium Development Goal task force for water and, more recently, on the Sustainable Development Goal team for sanitation. At Stanford, she teaches courses in environmental health engineering and interdisciplinary research design, and also directs the Stanford Program on Water, Health &amp; Development.	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Pierre Horwitz	Editorial Board	Edith Cowan University Joondalup, Australia Pierre Horwitz is the Professor of Environmental Sciences at Edith Cowan University, Western Australia, and founding Co-Director of the University’s Strategic Research Centre for People, Place &amp; Planet. He has research interests and expertise in the links between sustainable water resource management, ecosystems, biodiversity, and health, with research projects based in Western Australia, South East Asia and Oceania. He was a theme coordinator for wetlands and health for the Ramsar Convention on Wetlands (2009-2015), and has supervised to completion more than 40 PhD and Masters by Research students.	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Sílvia Bofill-Mas	Editorial Board	Universitat de Barcelona Spain	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-8581-7180
Angela Boggero	Editorial Board	National Research Council Italy	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-7534-3126
Clarissa Brocklehurst	Editorial Board	University of North Carolina USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Caetano Dorea	Editorial Board	University of Victoria Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-9367-0668
Monica Emelko	Editorial Board	University of Waterloo Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Despo Fatta-Kassinos	Editorial Board	University of Cyprus Cyprus	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-1173-0941
Alex Godoy-Faúndez	Editorial Board	University of Desarrollo Chile	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-9609-9863
Ashantha Goonetilleke	Editorial Board	Queensland University of Technology Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-8783-1223
Cameron Holley	Editorial Board	University of New South Wales Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-2747-9587
Amy Javernick-Will	Editorial Board	University of Colorado Boulder USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-3933-2614
M. Dinesh Kumar	Editorial Board	Institute for Resource Analysis and Policy India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Daniele Lantagne	Editorial Board	Tufts University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Nancy Love	Editorial Board	University of Michigan USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-9184-2451
Kati Migliaccio	Editorial Board	University of Florida USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-9285-019X
Alison Parker	Editorial Board	Cranfield University United Kingdom	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-7370-6758
Amy Pickering	Editorial Board	University of California Berkeley USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-6193-2221
Petra Schmitter	Editorial Board	World Bank/ International Water Management Institute Belgium	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-3826-7224
Farhana Sultana	Editorial Board	Syracuse University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Josef Velisek	Editorial Board	University of South Bohemia Ceske Budejovice Czechia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Eric Villegas	Editorial Board	US Environmental Protection Agency USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-8059-8588
Charisma Acey	Editorial Board	University of California Berkeley USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
David Adamson	Editorial Board	University of Adelaide Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-1616-968X
Ghaffar Ali	Editorial Board	Shenzhen University China	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-6055-2371
Mohan Amarasiri	Editorial Board	Kitasato University Japan	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-3509-3433
Giriraj Amarnath	Editorial Board	International Water Management Institute Sri Lanka	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Chunjiang An	Editorial Board	Concordia University Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-7350-2365
Eugene Appiah-Effah	Editorial Board	Kwame Nkrumah University of Science and Technology Ghana	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Dani Barrington	Editorial Board	University of Western Australia Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-1486-9247
Cara Beal	Editorial Board	Griffith University Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-9219-2120
Manpreet Bhatti	Editorial Board	Guru Nanak Dev University India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-4180-5812
MJ Booysen	Editorial Board	Stellenbosch University South Africa	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-2817-2069
Erin Bray	Editorial Board	San Francisco State University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Martina Angela Caretta	Editorial Board	Lund University Sweden	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Gabriella Carolini	Editorial Board	Massachusetts Institute of Technology USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Katrina Charles	Editorial Board	University of Oxford United Kingdom	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-2236-7589
Muhammad Jehanzeb Masud Cheema	Editorial Board	PMAS Arid Agriculture University, Rawalpindi, Pakistan Pakistan	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Xueming Chen	Editorial Board	Fuzhou University China	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Greet (Greta) Deruyter	Editorial Board	Gent University Belgium	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
João Miguel Dias	Editorial Board	Universidade de Aveiro PORTUGAL	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-7613-6241
Koffi Djaman	Editorial Board	New Mexico State University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-1904-6979
Caetano Dorea	Editorial Board	University of Victoria Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-9367-0668
Isabel Iglesias Fernández	Editorial Board	Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR ); University of Porto Portugal	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-4900-135X
Tim Foster	Editorial Board	University of Technology Sydney Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-1738-3450
