"","publisher","journal","role","editor","affiliation","url","date"
"1","Allied Academies","Journal of Biochemistry and Biotechnology","Editorial Board Member","Christina Nasadyuk","Associate professor of Biochemistry Department, Danylo Halytsky Lviv National Medical University. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"2","Allied Academies","Journal of Biochemistry and Biotechnology","Editor-in-Chief","Dr. KHUE VU NGUYEN","Project Scientist, Departments of Medicine and Pediatrics, University of California, San Diego, U.S.A ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"3","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Katsunori Nonogaki","Professor, Department of Diabetes Technology, Tohoku University Graduate School of Biomedical Engineering, Japan. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"4","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Roderick Melnik","Professor, Tier I Canada Research Chair in Mathematical Modelling, Director, MS2 Discovery Interdisciplinary Research Institute, University Avenue West,
Waterloo, Ontario, Canada. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"5","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Chung-Yi Chen","Dean and Professor, School of Medical and Health Sciences, Fooyin University, Taiwan. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"6","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Irena Zuntar","Professor, specialist of toxicology, University of Zagreb, Faculty of Pharmacy and Biochemistry, Zagred, Croatia. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"7","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Jean-Marc SABATIER","Director of research (PhD and HDR), French CNRS, France. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"8","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Herbert W. Ockerman","Professor, College of Food, Agric. and Env. Sci.and OARDC, The Ohio State University, Columbus, Ohio. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"9","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Burton M. Altura","Professor, State University of New York, Downstate Medical Center, USA. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"10","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Ahmed Hammad","Lecturer of General surgery, Mansoura University, Egypt. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"11","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Vinayaka B.Shet","Assistant professor Department of Biotechnology Engineering NMAM Institute of Technology, Nitte, Karkala-574110, Udupi district. Karnataka, India ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"12","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Ahmed Mohamed Morad Asaad","Professor of Microbiology &amp; Immunology, College of Human Medicine, Zagazig University, EGYPT. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"13","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Karkaz M. Thalij","Professor, Microbial Biotechnology, College of Agriculture, Tikrit University, IRAQ. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"14","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Owais Mohammad","Professor &amp; In-Charge, Molecular Immunology Lab I. Biotechnology Unit, AMU, Aligarh, India. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"15","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Bhaskar Chakraborty","Professor &amp; Head, Department of Chemistry, Sikkim Government College, Gangtok, Sikkim, India ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"16","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Rais Ansari","Associate Professor, Department of Pharmaceutical Sciences, College of Pharmacy, Health Professions Division, Nova Southeastern University, Florida, USA. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"17","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Smita Mohanty","Associate Professor, Oklahoma State University, Oklahoma, USA. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"18","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Guangdong Yang","Associate Professor, Department of Chemistry and Biochemistry, Laurentian University, Ramsey Lake Road, Canada. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"19","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Enyara Rezende Morais","Associate professor, Federal University of Uberlandia (UFU), Institute of Genetics and Biochemistry, Brazil. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"20","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Yu-Lin Hsieh","Associate professor	Department of Anatomy, Kaohsiung Medical University, Taiwan ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"21","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Junming Yue","Associate Professor of Pathology Director, Viral Vector Core Laboratory, The University of Tennessee Health Science Center, USA. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
"22","Allied Academies","Journal of Biochemistry and Biotechnology","Editor","Dr. Mohamed Shaheen","Associate professor of environmental virology, Environmental research division, National Research Center, Dokki, Giza, Egypt. ","https://www.alliedacademies.org/journal-biochemistry-biotechnology/editors.php",2021-05-19
