"","publisher","journal","role","editor","affiliation","url","date"
"1","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Ken H. Young","Professor The University of Texas, United States","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"2","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Antonio Manenti","Associated Professor, Department of Surgery University of Modena, Italy","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"3","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Nikolaos Papanas","Associate Professor, Depatment of Internal Medicine Democritus University of Thrace, Greece","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"4","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. George K. Paraskevas","Associate Professor, Department of Anatomy Aristotle University of Thessaloniki, Greece","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"5","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr Emmanouil Magiorkinis","Consultant in Medical Biopathology, General Hospital of Rethymnon Greece","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"6","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Kurnikova Irina Alekseevna","Professor, Department of Endocrinology Peoples Friendship University of Russia (PFUR), Russia","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"7","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Momcilo Pavlovic","Professor, College of Vocational Studies in Subotica Serbia","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"8","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr Suraj Wasudeo Nagre","Associate Professor, Cardiovascular and Thoracic Surgery, Grant Medical College India","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"9","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Mina Thabet Gayed Kelleni","Assistant Professor, Faculty of Medicine Minia University, Egypt","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"10","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Alexander E. Berezin","Professor, Department of Internal Medicine Zaporozhye State Medical University, Ukraine","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"11","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Paulo Renato Zuquim Antas","Principal Investigator, Instituto Oswaldo Cruz, FIOCRUZ, Laboratory of Clinical Immunology Rio de Janeiro, Brazil","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"12","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Sherief Abd-Elsalam","Consultant and Lecturer, Department Hepatology & Gastroenterology and Infectious Diseases Tanta University, Egypt","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"13","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Viroj Wiwanitkit","Director Hainan Medical University, Thailand","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"14","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Saeid Ghorbian","Assistant Professor, Department of Molecular Biology Ahar Branch Islamic Azad University, Iran","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"15","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Arpan Haldar","Professor, Department of Anatomy, All India Institute of Medical Sciences Bhubaneswar , India","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"16","Longdom","Acute and Chronic Disease Reports","Editorial Board","Dr. Petar Popov","Associated Professor in Surgery, Institute for Cardiovascular Disease Dedinje Belgrade, Serbia","https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html",2021-05-17
"17","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Joseph D. Smith","Editor-in-Chief Director, Energy Research and Development Center Missouri University of Science and Technology, USA","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"18","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Junwang Tang","Editor-in-Chief Associate Professor, Department of Chemical Engineering, Read Interview session with Junwang Tang University College London, UK","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"19","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Raghu N. Bhattacharya","Professor, National Renewable Energy Laboratory USA","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"20","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Eshwaran Narayanan","R&D Scientist, Insys Development Company, Inc. USA","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"21","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Panagiota Angeli","Reader, Chemical Engineering University College London, UK","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"22","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Fawzi Banat","Editor-in-Chief Professor, Department of Chemical engineering, The Petroleum Institute UAE","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"23","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Giovanni Palmisano","Assistant Professor, Department of Chemical and Environmental Engineering, Institute Center for Water and Environment (iWater), Masdar Institute of Science and Technology UAE","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"24","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Vincenzo Vaiano","Chemical Engineering University of Salerno, Italy","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"25","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Nicolas Brosse","Professor, Faculty of Sciences et Technologies, Bld des Aiguillettes France","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"26","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Mariano Martin","Chemical Engineering Department University of Salamanca, Spain","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"27","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Hasan Uslu","Professor, Chemical Engineering Department Beykent University, Turkey","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"28","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Dr. RAJA RIZWAN HUSSAIN","Associate Professor Saudi Arabia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"29","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Tan Kok Tat","Assistant Professor, Department of Petrochemical Engineering Universiti Tunku Abdul Rahman, Malaysia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"30","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Zulkifli M. A. Merican","Assistant Professor, Department of Fundamental and Applied Sciences Universiti Teknologi Petronas, Malaysia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"31","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Lam Man Kee","Universiti Teknologi Petronas, Malaysia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"32","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Dragomir S. Yankov","Head of Biochemical Reactors Laboratory, Institute of Chemical Engineering, Bulgarian Academy of Sciences Bulgaria","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"33","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Dr. Mane Rahul Maruti","Department of Chemistry Shivaji University, India","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"34","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Chiranjib Chakraborty","Professor, Department of Bio-informatics School of Computer and Information sciences Galgotias University, India","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"35","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Mohammad Javad Parnian","Research Associate, Department of Chemistry University of Calgary, Canada","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"36","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Neha Chawla","Research specialist Carnegie Mellon University, USA","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"37","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Masuell Alberto Martin","Associate Proffesor and Inv. Adj, Institute of Applied Physics-CONICET-UNSL National University of San Luis, Argentina","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"38","Longdom","Advancements in Genetic Engineering","Editorial Board","Arvind Chhabra","Executive Editor Department Of Medicine University of Connecticut Health Center, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"39","Longdom","Advancements in Genetic Engineering","Editorial Board","Diego Alexander Garzo-Alvarado","Executive Editor Professor Universidad Nacional de Colombia, Colombia, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"40","Longdom","Advancements in Genetic Engineering","Editorial Board","Massimo Conese","Executive Editor Associate Professor, Department of Biomedical Sciences University of Foggia, Italy","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"41","Longdom","Advancements in Genetic Engineering","Editorial Board","Xiu Quan Zhang","Executive Editor Department of Obstetrics and Gynecology The University of Utah, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"42","Longdom","Advancements in Genetic Engineering","Editorial Board","Gang (Mike) Zhang","Division of Nephrology, Massachusetts General Hospital USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"43","Longdom","Advancements in Genetic Engineering","Editorial Board","Khue Vu Nguyen","Full Project Scientist, Departments of Medicine and Pediatrics, The Mitochondrial and Metabolic Disease Center, School of Medicine University of California, San Diego, CA, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"44","Longdom","Advancements in Genetic Engineering","Editorial Board","Youming Zhang","Molecular Genetics and Genomics Group, National Heart and Lung Institute, Imperial College United Kingdom","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
