"","publisher","journal","role","editor","affiliation","url","date"
"1","SCIRP","Advances in Aerospace Science and Technology","Editor-in-Chief","Ahmad A. Hujeirat","Interdisciplinary Research Center for Scientific Computing, University of Heidelberg, Germany","https://www.scirp.org/journal/editorialboard.aspx?journalid=2423",2021-05-19
"2","SCIRP","Advances in Aerospace Science and Technology","Editorial Board","Heuy Dong Kim","Andong National University, South Korea","https://www.scirp.org/journal/editorialboard.aspx?journalid=2423",2021-05-19
"3","SCIRP","Advances in Aerospace Science and Technology","Editorial Board","Craig Lawson","Cranfield University, UK","https://www.scirp.org/journal/editorialboard.aspx?journalid=2423",2021-05-19
"4","SCIRP","Advances in Aerospace Science and Technology","Editorial Board","Chung-Kiak Poh","Aero-Persistence Research LLP, Malaysia","https://www.scirp.org/journal/editorialboard.aspx?journalid=2423",2021-05-19
"5","SCIRP","Advances in Aerospace Science and Technology","Editorial Board","Toshiaki Setoguchi","Saga University, Japan","https://www.scirp.org/journal/editorialboard.aspx?journalid=2423",2021-05-19
"6","SCIRP","Advances in Aerospace Science and Technology","Editorial Board","Paolo Tortora","University of Bologna, Italy","https://www.scirp.org/journal/editorialboard.aspx?journalid=2423",2021-05-19
"7","SCIRP","Advances in Aerospace Science and Technology","Editorial Board","Vladimir Zhuravlev","Moscow Aviation Institute, Russia","https://www.scirp.org/journal/editorialboard.aspx?journalid=2423",2021-05-19
"8","SCIRP","Advances in Aging Research","Editorial Board","Anshu Agrawal","University of California, Irvine, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"9","SCIRP","Advances in Aging Research","Editorial Board","Michael G. Bemben","University of Oklahoma, Norman Campus, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"10","SCIRP","Advances in Aging Research","Editorial Board","Hom Nath Chalise","Purbanchal University, Nepal","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"11","SCIRP","Advances in Aging Research","Editorial Board","Sheying Chen","Pace University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"12","SCIRP","Advances in Aging Research","Editorial Board","Maria de Fatima Falangola","Medical University of South Carolina, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"13","SCIRP","Advances in Aging Research","Editorial Board","Leonid A. Gavrilov","NORC and the University of Chicago, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"14","SCIRP","Advances in Aging Research","Editorial Board","Linda Ann Gerdner","Stanford University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"15","SCIRP","Advances in Aging Research","Editorial Board","Song-Iee Hong","Dongguk University, South Korea","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"16","SCIRP","Advances in Aging Research","Editorial Board","Alexander V. Khalyavkin","N. M. Emanuel Institute of Biochemical Physics of RAS, Russia","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"17","SCIRP","Advances in Aging Research","Editorial Board","Jean Kozak","Providence Health Care, Vancouver BC, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"18","SCIRP","Advances in Aging Research","Editorial Board","Viacheslav N. Krutko","I. M. Sechenov First Moscow State Medical University, Russia","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"19","SCIRP","Advances in Aging Research","Editorial Board","Dongmin Liu","Virginia Tech, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"20","SCIRP","Advances in Aging Research","Editorial Board","Ray Marks","City University of New York, York College, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"21","SCIRP","Advances in Aging Research","Editorial Board","Sidharth Mehan","ISF College of Pharmacy, Moga, Punjab, India","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"22","SCIRP","Advances in Aging Research","Editorial Board","Ozioma C. Okonkwo","University of Wisconsin School of Medicine & Public Health, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"23","SCIRP","Advances in Aging Research","Editorial Board","Howard A. Palley","University of Maryland, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"24","SCIRP","Advances in Aging Research","Editorial Board","Darja Rugelj","University of Ljubljana Faculty of Health Sciences, Slovenia","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"25","SCIRP","Advances in Aging Research","Editorial Board","Cheryl A. Sadowski","University of Alberta, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"26","SCIRP","Advances in Aging Research","Editorial Board","Yothin Sawangdee","Mahidol University, Thailand","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"27","SCIRP","Advances in Aging Research","Editorial Board","Douglas Lees Schmucker","University of California, San Francisco, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"28","SCIRP","Advances in Aging Research","Editorial Board","Deug Y. Shin","Dankook University, South Korea","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"29","SCIRP","Advances in Aging Research","Editorial Board","Donna M. Wilson","University of Alberta, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=1406",2021-05-19
"30","SCIRP","Advances in Alzheimer's Disease","Editor-in-Chief","Lei Xue","Tongji University, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1408",2021-05-19
"31","SCIRP","Advances in Alzheimer's Disease","Editorial Board","Vladan P. Bajic","University of Belgrade and Galenika Pharm, Serbia","https://www.scirp.org/journal/editorialboard.aspx?journalid=1408",2021-05-19
"32","SCIRP","Advances in Alzheimer's Disease","Editorial Board","Ho-Yin Edwin Chan","The Chinese University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1408",2021-05-19
"33","SCIRP","Advances in Alzheimer's Disease","Editorial Board","Raymond Chuen-Chung Chang","The University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1408",2021-05-19
