"","publisher","journal","role","editor","affiliation","url","date"
"1","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Dr. Filipa Novais","Psychiatrist, Hospital Universitário de Santa Maria, Lisboa (Portugal)
Full time clinical practice in Psychiatry
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"2","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Mark Hyman Rapaport","Department of Psychiatry and Behavioral SciencesEmory University School of Medicine, USA
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"3","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Sam Vaknin","Professor of Psychology,
Southern Federal University
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"4","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Thomas J R Beveridge, PhD","Physiology & Pharmacology Wake Forest University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"5","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Roberto Maniglio ","Clinical Psychology Mercatorum University, Rome, Italy","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"6","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Mojtaba Mafi","Medical Doctor/Physician, Medicine 
Tehran University of Medical Sciences 
Tehran 
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"7","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Amy L Copeland, PhD","Department of PsychologyLouisiana State University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"8","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Lisa M Najavits, PhD","Department of PsychiatryBoston University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"9","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Robert Freedman, PhD","Psychiatry and Behavioral NeurosciencesWayne State University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"10","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Patrick Sherry, PhD","Counseling Psychology ProgramUniversity of Denver, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"11","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Ann Melvin, PhD","Department Of Human ServicesUniversity of Illinois at Springfield, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"12","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Jennifer G Plebani, PhD","Department of PsychiatryUniversity of Pennsylvania, USA
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"13","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Patricia Junquera, MD","Department of Psychiatry & Behavioral HealthFIU-Herbert Wertheim College of Medicine, USA
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"14","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Valerie ED Russel, PhD","Department of Leadership and Professional DevelopmentFlorida International University, USA
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"15","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Ying He, PhD","Department of Biopharmaceutical SciencesUniversity of Illinois at Chicago, USA
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"16","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Rong Chen, PhD","Department of Physiology & PharmacologyWake Forest University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"17","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Grace X Ma, PhD","Department of  Public HealthTemple University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"18","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Doo-Sup Choi, PhD","Neurobiology of Alcoholism and Drug AddictionMayo Clinic College of Medicine, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"19","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Mustafa al Absi, PhD","Department of Family Medicine and Behavioral SciencesUniversity of Minnesota Medical School, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"20","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Christine Bard, PhD","Department of Counseling PsychologyAlder School of Professional Psychology, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"21","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Sharon Davis, PhD","Arkansas State University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"22","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Dana K Smith, PhD","Oregon Research Institute, USA
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"23","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Richard Lamb, PhD","Department of Psychiatry and PharmacologyUniversity of Texas Health Science Center, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"24","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Roger D Weiss, MD","Department of PsychiatryMcLean Hospital, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"25","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Jered B Kolbert, PhD","Department of Counseling, Psychology, and Special EducationDuquesne University, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"26","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Matthew E Sprong","Northern Illinois University, USA
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"27","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Jiang John Chen, Ph D","Research ScientistVirginia Tech Carilion Research Institute,
USA
 
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"28","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Kristin Ostlie, PhD","Department of Physical Medicine and RehabilitationInnlandet Hospital Trust, Norway","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"29","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Bernard Le Foll, PhD","University of Toronto, Canada","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"30","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","WK Tang, PhD","Department of Psychiatry,The Chinese University of Hong Kong, Hong Kong","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"31","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Bonnie Lee, PhD","Faculty of Health Sciences (Addictions Counselling)University of Lethbridge, Canada
","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"32","SciTechnol","Journal of Addictive Behaviors,Therapy & Rehabilitation","Editorial Board","Victor Andreev, PhD","Department of Biochemistry and Molecular BiologyUniversity of Miami, USA","https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php",2021-05-19
"33","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Anjanapura Venkataramanaiah Raghu ","Professor, Department of Chemistry, 
FET, Jain Deemed-to-be University, INDIA
","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"34","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Anjanapura Venkataramanaiah Raghu","","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"35","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Prokai-Tatrai Katalin, PhD","Department of Pharmaceutical Sciences University of North Texas Health Science Center,
USA","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"36","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Ken H. Young, MD, PhD","Department of Medicine The University of Texas MD Anderson Cancer Center,
USA","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"37","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","John D Shaughnessy, PhD","Department of Medicine,Hematology and Medical Oncology Icahn School of Medicine at Mount Sinai,
USA","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"38","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Qiang Cheng, PhD","Department of Bio Informatics  Southern Illinois University,
USA","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"39","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Ebomoyi William, PhD","Department of Health Studies Chicago State University,
USA","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"40","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","David John Barnes, MBBS","Department of Respiratory and Sleep Disorder University of Sydney,
Australia","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"41","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Pagona Papakonstantinou, PhD","Department of Nanotechnology and Integrated Bioengineering Ulster University,
Northern Ireland","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"42","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Emilio Bucio, PhD","Department of Chemist physics National University of Mexico,
Mexico","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"43","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Akira Sugawara, PhD","Department of Molecular Endocrinology Tohoku University,
Japan","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"44","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Alexander Poletaev, MD","Department of Medicine Medical Research Center Immunculus,
Russia","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"45","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Balamurugan Appakalai, PhD","Department of Surgery University of Louisville, 
USA","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"46","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Wenfei Jin, PhD","Department of Biology Southern University of Science and Technology,
China","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"47","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Adrian Nicolae Branga, PhD","Department of Informatics Lucian Blaga University of Sibiu,
Romania","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"48","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Tawfik A Saleh, PhD","Department of Chemistry King Fahd University of Petroleum & Minerals,
Saudi Arabia","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"49","SciTechnol","Advanced Biomedical Research and Innovation","Editorial Board","Ajay Kumar Mishra, PhD ","Department of Nanoscience & Nanotechnology University of Johannesburg,
South Africa","https://www.scitechnol.com/editorialboard-advanced-biomedical-research-innovation.php",2021-05-19
"50","SciTechnol","Journal of Aging and Geriatric Medicine","Editorial Board","Richard Schulz, PhD","Department of Psychology  University of Pittsburgh, USA","https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php",2021-05-19
