"","X","publisher","journal","role","editor","affiliation","url","date"
"1",1,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Obeagu, Emmanuel Ifeanyi","Researcher, Medical Laboratory Science, University Health Services, Michael Okpara University of Agriculture, Umudike, Nigeria","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"2",2,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Hidetsugu Kohzaki","Postdoctoral researcher, Institute for Virus Research Kyoto University and the Faculty of Allied Health Sciences, Yamato University, Japan","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"3",3,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Peter Maienfisch","Honorary Professor, East China University of Science and Technology (ECUST), China","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"4",4,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Pushpanathan Muthuirulan","Postdoctoral Researcher,
Section on Neuronal Connectivity,
Laboratory of Gene Regulation and Development,
National Institute of Child Health and Human
Development (NICHD),
National Institutes of Health (NIH,
USA","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"5",5,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Antonio Simone LaganÃ ","Unit of Gynecology and Obstetrics,
Department of Human Pathology in Adulthood and Childhood, University of Messina,
Italy","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"6",6,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Kartik Ramakrishna","Pulmonary and Critical Care, Geisinger Commonwealth School of
Medicine Fellowship Medicine, Danville, USA","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"7",7,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Taha Roodbar Shojaei","Research Assistant,
University Putra Malaysia (UPM)","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"8",8,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Zhu Jing","Associate chief physician and Tutor of Ophthalmology department, the First affiliated hospital of PLA general hospital, Beijing, China","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"9",9,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Iglesias MartÃ­n","Veterinary Epidemiologist postdoctoral researcher in CISA-INIA (Center of Animal Health Research. National Institute of Agriculture Research) in the Environmental Health and Epidemiology group, Madrid, Spain","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"10",10,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Ohgew Kweon","Division of Microbiology,
National Center for Toxicological Research,
U.S. Food and Drug Administration,
Jefferson,
USA","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"11",11,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Apostolos Vantarakis","Associate Professor,
Department of public health,
Medical school,
University of Patras,
Greece","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"12",12,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Sameer Tiwari","Department of Microbiology, Immunology and Infectious Diseases, Cumming School of Medicine University of Calgary, Canada","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"13",13,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Funda Sungur Biteker","Mugla University Faculty of Medicine, Mugla","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"14",14,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","AbdelRahman Zueter","Assistant professor, Medical microbiology and parasitology, Department of medical laboratory sciences, The Hashemite University, Zarqa, Jordan","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"15",15,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Somenath Roy","Professor,
Immunology &amp; Microbiology Laboratory,
Department of Human Physiology with
community Health,
Vidyasagar University,
India","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"16",16,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Massimo Ciccozzi","Researcher in epidemiology, biostatistics and viruses evolution at Italian National Institute of Health
(Department of Infection Diseases);
Associate professor in Epidemiology and Statistic University of Biomedical Campus in Rome","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"17",17,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Dimitra K. Toubanaki","Postdoctoral Research Associate,
Hellenic Pasteur Institute,
Athens, Greece","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"18",18,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Norhan K Abd El-Aziz","Lecturer of Microbiology, Faculty of Veterinary Medicine, Zagazig University, Egypt","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"19",19,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Marwa Ibrahim Abd El-Hamid","Lecturer of Microbiology,
Microbiology Department,
Faculty of Veterinary Medicine,
Zagazig University,
Zagazig, Sharkia, Egypt","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"20",20,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","MarÃ­a Elizabeth MÃ¡rquez","Co-researcher on projects and inter multidisciplinary research in the Laboratory of Parasitic Enzymology,
Department of Biology,
Universidad de Los Andes,
Venezuela","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"21",21,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Murat Topal","Munzur University Tunceli, Turkey","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"22",22,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Shaoping Huang","Department of Histology and Embryology, Medical School, Southeast University, PR China","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"23",23,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Fazlurrahman Khan","School of Engineering and Technology,
Department of Biotechnology,
Sharda University, India","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"24",24,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Sachin Chandrakant Deorukhkar","Department of Microbiology,
Rural Medical College,
India","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"25",25,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Bonacci Stefano","Research Assistant, GSK S.p.A., Research Center, Molecular Biology Lab, Italy","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"26",26,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Mohammed Mustafa","Assistant Professor &amp; Head of Endodontic Division, Department of Conservative Dental Sciences &amp; College Coordinator for Quality Assurance, College of Dentistry, Kingdom of Saudi Arabia","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"27",27,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Chellappan Padmanabhan","Research Plant Pathologist, USDA-ARS, U.S. Vegetable Laboratory, Charleston, South Carolina, USA","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"28",28,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Hua-Guo Xu","Associate Professor, Department of Laboratory Medicine, The First Affiliated Hospital of Nanjing Medical University, Nanjing, China","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"29",29,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Mahmoud AbouLaila","Associate Professor,
Department of Parasitology,
Faculty of Veterinary Medicine,
University of Sadat City,
Sadat City, Minoufiya,
Egypt","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"30",30,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Daniela Hanganu","Associate Professor,
Department of Pharmacognosy,
Faculty of Pharmacy,
UMF ""Iuliu Hatieganu"",
RomÃ¢nia","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"31",31,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Greg Fontenot","Senior Scientist/Pre-Clinical Manager,
Repros Therapeutics,
The Woodlands, TX","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"32",32,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Igor Iatsenko","Ã‰cole polytechnique fÃ©dÃ©rale de Lausanne (EPFL), Lausanne, Switzerland","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"33",33,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Maja Subelj","Public Health Physician, National Institute of Public Health, Slovenia","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"34",34,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Amit Singh","Department of Microbiology,
All India Institute of Medical Sciences,
India","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"35",35,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Dalvir Gill","Postdoctoral Training, SUNY Upstate Medical University Hospital, Syracuse, New York","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"36",36,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Sisir Nandi","Division of Pharmaceutical Chemistry,
Global Institute of Pharmaceutical Education &amp; Research (GIPER), India","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"37",37,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Vahid Noaman","Associate Professor, Veterinary Research Department, Isfahan Agricultural and Natural Resources Research and Education Center (AREEO), Iran","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"38",38,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Asmaa A AbdEl ghaffar","Faculty of Pharmacy,
Cairo University, Egypt","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"39",39,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Ahmet Koluman","Ministry of Food Agriculture and Livestock,
General Directorate of Control and Protection,
Adana Provincial Food Control Laboratory,
TURKEY","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"40",40,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Haseeb Anwar","Assistant Professor,
Department of Physiology, Faculty of Science and Technology,
GC University, Faisalabad, Pakistan","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"41",41,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Iman Ibrahim Shabana","Lecturer,
Bacteriology, Immunology and Mycology Department, Faculty of Veterinary Medicine, Suez Canal University, Egypt","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"42",42,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Mykola M. Salkov","Neurosurgeon, Regional Hospital and Dnipropetrovsk Medical Academy, Spinal Neurosurgery, Ukraine","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"43",43,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Gurpreet Kaur","Assistant Professor,
Veterinary Microbiology,
India","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"44",44,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Karina GIN Yew Hoong","Department of Civil and Environmental Engineering,
Faculty of Engineering, National University of Singapore,
Singapore","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"45",45,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Alexander E. Berezin","Professor of Medicine, Consultant of Cardiology Unit of Internal Medicine Department at State Medical University, Zaporozhye, Ukraine","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"46",46,"iMedPub","Advanced Techniques in Clinical Microbiology","Editor","Sajjad Ashnagar","Department of Periodontics and Oral Medicine,
University of Michigan School of Dentistry,
Ann Arbor, Michigan","https://www.imedpub.com/advanced-techniques-in-clinical-microbiology/editors.php","2021-05-19"
"47",47,"iMedPub","Advances in Applied Science Research","Editor-in-Chief","Takashiro Akistu","Department of Chemistry, Faculty of Science, Tokyo University of Science,Tokyo, Japan","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"48",48,"iMedPub","Advances in Applied Science Research","Executive Editors","Masatsugu Taneda","Associate Professor, Department of Science Education, Faculty of Education,
Osaka Kyoiku University,Japan","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"49",49,"iMedPub","Advances in Applied Science Research","Executive Editors","Shivendu Ranjan","Honorary-Director, Research Wing, VKSMT, India; Research-Fellow, VIT University, India and Founder-Director: Xpert Arena Technological Services Pvt. Ltd., India.","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"50",50,"iMedPub","Advances in Applied Science Research","Section Editors","Abd Elmoniem Ahmed Elzain Abd Elwahab","Department of Physics, University of Kassala, Kassala, Sudan","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"51",51,"iMedPub","Advances in Applied Science Research","Section Editors","Ahmed A. Al-Amiery","Environmental Research Center, University of Technology, Baghdad, Iraq","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"52",52,"iMedPub","Advances in Applied Science Research","Section Editors","CengizKocak","Department of Hydrobiology, Faculty of Fisheries, Ege University, Bornova-Izmir, Turkey","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"53",53,"iMedPub","Advances in Applied Science Research","Section Editors","Emmanuel Kenechukwu Anakwuba","Department of Geological Sciences, NnamdiAzikiwe University, Awka, Nigeria","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"54",54,"iMedPub","Advances in Applied Science Research","Section Editors","Eugenia Fagadar-Cosma","Institute of Chemistry Timisoara of Romanian Academy, Romania","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"55",55,"iMedPub","Advances in Applied Science Research","Section Editors","G. Panduranga Murthy","Professor and Dean,Maharaja Institute of Techology(Visvesvaraya Technological University, Belgavi) Thandavapura, Nanjangud taluk-571 302, Mysore district, Karnataka, India","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"56",56,"iMedPub","Advances in Applied Science Research","Section Editors","Isiaka Ajani Ogunwande","Department of Chemistry, Faculty of Science, Lagos State University, Lagos, Nigeria","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
