publisher	journal	issn	role	editor	affiliation	url	date
MDPI	Acoustics	2624-599X	Editors	 Prof. Dr. Jian Kang	UCL Institute for Environmental Design and Engineering, The Bartlett, University College London, London WC1H 0NN, UK	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editors	 Prof. Dr. Stéphane Moreau	Mechanical Engineering Department, Université de Sherbrooke, Sherbrooke, QC J1K2R1, Canada	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editors	 Prof. Dr. Andrew Y. T. Leung	Department of Architecture and Civil Engineering, City University of Hong Kong, Hong Kong, China	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editors	 Dr. Philippe Roux	Centre National de la Recherche Scientifique, l'Institut des Sciences de la Terre, University Grenoble Alpes, 38000 Grenoble, France	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Mats Åbom	Centre for Sustainable Aviation, KTH-Royal Institute of Technology, SE-100 44 Stockholm, Sweden	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Dr. Francesco Aletta	UCL Institute for Environmental Design and Engineering, The Bartlett, University College London (UCL), 14 Upper Woburn Place, London WC1H 0NN, UK	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Arianna Astolfi	Politecnico di Torino, Department of Energy, Corso Duca degli Abruzzi 24, 10129 Torino, Italy	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Amr M. Baz	Department of Mechanical Engineering, University of Maryland, College Park, MD 20742, USA	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Umberto Berardi	Department of Architectural Science, Ryerson University, Toronto, ON M5B 2K3, Canada	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Dr. Bernard Bonello	Institut des Nanosciences de Paris, Sorbonne Université, 75005 Paris, France	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Li Cheng	Department of Mechanical Engineering, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Dr. Johan Christensen	Instituto Gregorio Millan Barbany, Universidad Carlos III de Madrid, ES-28916 Leganés, Madrid, Spain	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Habil. Michel Darmon	Paris-Saclay University, CEA, List, F-91120 Palaiseau, France	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
