publisher	journal	issn	role	editor	affiliation	url	date
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Ken H. Young	Professor The University of Texas, United States	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Antonio Manenti	Associated Professor, Department of Surgery University of Modena, Italy	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Nikolaos Papanas	Associate Professor, Depatment of Internal Medicine Democritus University of Thrace, Greece	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. George K. Paraskevas	Associate Professor, Department of Anatomy Aristotle University of Thessaloniki, Greece	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr Emmanouil Magiorkinis	Consultant in Medical Biopathology, General Hospital of Rethymnon Greece	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Kurnikova Irina Alekseevna	Professor, Department of Endocrinology Peoples Friendship University of Russia (PFUR), Russia	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Momcilo Pavlovic	Professor, College of Vocational Studies in Subotica Serbia	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr Suraj Wasudeo Nagre	Associate Professor, Cardiovascular and Thoracic Surgery, Grant Medical College India	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Mina Thabet Gayed Kelleni	Assistant Professor, Faculty of Medicine Minia University, Egypt	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Alexander E. Berezin	Professor, Department of Internal Medicine Zaporozhye State Medical University, Ukraine	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
Longdom	Acute and Chronic Disease Reports	NA	Editorial Board	Dr. Paulo Renato Zuquim Antas	Principal Investigator, Instituto Oswaldo Cruz, FIOCRUZ, Laboratory of Clinical Immunology Rio de Janeiro, Brazil	https://www.longdom.org/acute-chronic-disease-reports/editorial-board.html	2022-01-28
