publisher	journal	role	editor	affiliation	url	date
BioMedCentral	Critical Care	NA	Jean-Louis Vincent	Erasme University Hospital, Belgium	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Élie Azoulay	Paris Diderot University, France	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Sean Bagshaw	University of Alberta, Canada	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Daniel De Backer	CHIREC, Belgium	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Craig Coopersmith	Emory University, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Carol L. Hodgson	Monash University, Australia	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	John C Marshall	St Michael's Hospital, University of Toronto, Canada	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Marek Mirski	Johns Hopkins School of Medicine, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Michael Niederman	Weill Cornell Medical College, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Paolo Pelosi	University of Genova, Italy	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Michael Pinsky	University of Pittsburgh, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Jean-Charles Preiser	Erasme University Hospital, Belgium	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Hallie Prescott	University of Michigan Health System, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Gordon Rubenfeld	University of Toronto and Sunnybrook Health Sciences Center, Canada	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Francis C Dane	"c(""Jefferson College of Health Sciences"", "" USA"")"	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Maria Viskaduraki	University of Leicester, UK	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Derek Angus	University of Pittsburgh, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Massimo Antonelli	Universita Cattolica Del Sacro Cuore, Italy	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Yaseen Arabi	King Saud Bin Abdulaziz University for Health Sciences, King Abdullah International Medical Research Center, Saudi Arabia	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Jan Bakker	Erasmus University Rotterdam, The Netherlands	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Rinaldo Bellomo	Austin Health, Australia	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Lluis Blanch	Universitat Autònoma de Barcelona, Spain	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Laurent J. Brochard	St Michael's Hospital, Canada	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Carolyn Calfee	University of California at San Francisco, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Maurizio Cecconi	St George's, University of London, UK	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Alain Combes	University of Paris, Pierre et Marie Curie, France	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Andrea Cortegiani	University of Palermo, Italy	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Bin Du	Peking Union Medical College Hospital, China	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Jacques Duranteau	Bicêtre Hospital, France	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Niall Ferguson	University Health Network, University of Toronto, Canada	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
