publisher	journal	issn	role	editor	affiliation	url	date
Pleiades	Acoustical Physics	1063-7710	EDITOR-IN-CHIEF	Igor B. Esipov	Dr. Sci. (Phys.-Math.),  Gubkin Russian State University of Oil and Gas, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	DEPUTY EDITOR-IN-CHIEF	Yurii I. Bobrovnitskii	Dr. Sci. (Phys.-Math.),  Institute of Machines Science, Russian Academy of Sciences, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	Coordinating Editor	Mikhail L. Lyamshev	Cand. Sci. (Phys.-Math.), General Physics Institute, Russian Academy of Sciences, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Elena V. Charnaya	Dr. Sci. (Phys.-Math.), St. Petersburg State University, St. Petersburg, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Sergey V. Egerev	Dr. Sci. (Phys.-Math.),  Andreyev Acoustics Institute, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Sergei N. Gurbatov	Dr. Sci. (Phys.-Math.), Nizhni Novgorod State University, Nizhny Novgorod, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Alexander A. Karabutov 	Dr. Sci. (Phys.-Math.), International Laser Center of Moscow State University, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Victor F. Kopiev	Dr. Sci. (Phys.-Math.), Central Aerohydrodynamic Institute, Moscow Research Branch, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Alexander I. Korobov	Dr. Sci. (Phys.-Math.), Lomonosov Moscow State University, Acoustical Department, Faculty of Physics, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Tatiana K. Kozubskaya	Dr. Sci. (Phys.-Math.), Mathematical Modelling Institute, Russian Academy of Sciences, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Alexander G. Luchinin	Dr. Sci. (Phys.-Math.), Institute of Applied Physics, Nizhny Novgorod, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Alexander I. Malekhanov	Cand. Sci. (Phys.-Math.), Institute of Applied Physics, Nizhny Novgorod, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
Pleiades	Acoustical Physics	1063-7710	EDITORIAL BOARD	Mikhail A. Mironov	Cand. Sci. (Phys.-Math.), Andreyev Acoustics Institute, Moscow, Russia	https://www.pleiades.online/en/journal/acoust/board/	2022-01-04
