publisher	journal	issn	role	editor	affiliation	url	date
Frontiers	Frontiers in in Aging	2673-6217	Specialty Chief Editor	CONSUELO  BORRAS	University of Valencia; Valencia, Spain	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Specialty Chief Editor	Vera  Gorbunova	University of Rochester; Rochester, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Specialty Chief Editor	LAURA  HAYNES	School of Medicine, University of Connecticut; Farmington, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Specialty Chief Editor	Morten  Scheibye-Knudsen	University of Copenhagen; Copenhagen, Denmark	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Specialty Chief Editor	Richard C Siow	King's College London; London, United Kingdom	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Specialty Chief Editor	HIDETOSHI  TAHARA	Hiroshima University; Hiroshima, Japan	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Specialty Chief Editor	Jianhua  Zhang	University of Alabama at Birmingham; Birmingham, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Anshu  Agrawal	University of California, Irvine; Irvine, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Matilde  Alique	University of Alcalá; Alcalá de Henares, Spain	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Daniela  Bakula	Center for Healthy Aging, University of Copenhagen; Copenhagen, Denmark	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Jenna M Bartley	University of Connecticut Health Center; Farmington, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Moisés Evandro Bauer	Pontifical Catholic University of Rio Grande do Sul; Porto Alegre, Brazil	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Victoria  Belancio	Tulane University; New Orleans, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Leena P Bharath	Merrimack College; North Andover, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Robert M Brosh	National Institute on Aging, National Institutes of Health (NIH); Bethesda, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	MARCO P BROTTO	University of Texas at Arlington; Arlington, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Kim A. Caldwell	University of Alabama; Tuscaloosa, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Christy S Carter	University of Alabama at Birmingham; Birmingham, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Guobing  Chen	School of Medicine, Jinan University; Guangzhou, China	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Danica  Chen	University of California, Berkeley; Berkeley, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Haim  Cohen	Bar-Ilan University; Ramat Gan, Israel	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Manuel  Collado	Servicio Gallego de Salud; Santiago de Compostela, Spain	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Patricia  Conway	University of New South Wales; Kensington, Australia	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Constanza J Cortes	University of Alabama at Birmingham; Birmingham, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Karen  Crasta	National University of Singapore; Singapore, Singapore	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Ruben  Dagda	University of Nevada, Reno; Reno, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Weiwei  Dang	Baylor College of Medicine; Houston, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Rafael  De Cabo	Translational Gerontology Branch (NIA); Bethesda, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Frédéric  Derbré	University of Rennes 2 – Upper Brittany; Rennes, France	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Rita Cassia Menegati Dornelles	São Paulo State University; São Paulo, Brazil	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Evandro Fei Fang	University of Oslo; Oslo, Norway	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Richard  Faragher	University of Brighton; Brighton, United Kingdom	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Daniela  Frasca	University of Miami; Coral Gables, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Christian  Gonzalez-Billault	University of Chile; Santiago, Chile	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Myriam  Gorospe	National Institutes of Health (NIH); Bethesda, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Michaël  Guittaut	University of Franche-Comté; Besançon, France	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Manish Kumar Gupta	University of Central Florida; Orlando, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Bradford G. Hill	University of Louisville; Louisville, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Riekelt  Houtkooper	Academic Medical Center; Amsterdam, Netherlands	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Insoo  Kang	Yale University; New Haven, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Ron  Kohen	Hebrew University of Jerusalem; Jerusalem, Israel	https://www.frontiersin.org/journals/aging/editors	2022-01-11
