publisher	journal	issn	role	editor	affiliation	url	date
Allied Academies	Addiction and Criminology	NA	Editor in Chief	Dr. Stanislav Svetlov	Chief Scientific Officer (Immunova) and Associate Professor, Department of Psychiatry and Medicine, University of Florida, United States of America 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Executive Editor	Dr. Paul Edward Kaloostian	Assistant Professor, Department of Neurosurgery, University of California Riverside, United States of America 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Li-Min Cheng	Adjunct assistant professor,
the Department of International Business of Providence University, Taiwan
Adjunct assistant professor,
the Department of Public Administration of the National Open University, Taiwan
Specialist of the consumer protection office of Legal Affairs Bureau of Taichung City Government, Taiwan 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Shmuel Vaknin	Professor of Psychology, Southern Federal University, Rostov-on-Don, Russia and Professor of Finance and Psychology in CIAPS (Centre for International Advanced and Professional Studies). 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Kameshwar R Ayasolla	<p>Research Scientist, 2799 West Grand BLVD Henry Ford Health Room # 4023 E &amp; R BLDNG Detroit 48202</p> 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Subhrajit Bhattacharya	Assistant Professor, Department of Neuropharmacology, Emory University, United States of America 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Robert L.Clegg	Associate Professor, Department of Clinical and Administrative Sciences, California Health Sciences University, United States of America 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Yury Evgeny Razvodovsky	Professor, Grodno State Medical University, Russia 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. S.Gopal Nambi	Assistant Professor, Department of Physical therapy and Clinical therapy, Prince Sattam Bin Abdul Aziz University, Al-Kharj, Saudi Arabia 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Hany E. Marei	Professor and Project Manager, Department of Cytology and Histology, Biomedical Research Center, Qatar University, Qatar 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Addiction and Criminology	NA	Editorial Board Member	Dr. Tang Wai Kwong	Professor, Department of Psychiatry, The Chinese University of Hong Kong 	https://www.alliedacademies.org/addiction-criminology/editors.php	2022-01-28
Allied Academies	Allied Journal of Environmental Earth Sciences	NA	Editor	Gopal Krishan	National Institute of Hydrology, Roorkee, Uttarakhand, India 	https://www.alliedacademies.org/allied-journal-of-environmental-earth-sciences/editors.php	2022-01-28
Allied Academies	Allied Journal of Environmental Earth Sciences	NA	Editor	Alexander Andreevich Ivlev	Russian State Agrarian University - MTAA, Moscow, Russia 	https://www.alliedacademies.org/allied-journal-of-environmental-earth-sciences/editors.php	2022-01-28
Allied Academies	Allied Journal of Environmental Earth Sciences	NA	Editor	Chandra Shekhar Kapoor	Mohanlal Sukhadia University, Udaipur, Rajasthan, India 	https://www.alliedacademies.org/allied-journal-of-environmental-earth-sciences/editors.php	2022-01-28
Allied Academies	Allied Journal of Environmental Earth Sciences	NA	Editor	Edgar Ricardo Monroy Vargas	University La Gran Colombia. Bogotá. Colombia 	https://www.alliedacademies.org/allied-journal-of-environmental-earth-sciences/editors.php	2022-01-28
Allied Academies	Allied Journal of Environmental Earth Sciences	NA	Editor	Halidullin O.H	Institute of Mining of the Academy of Sciences of Kazakhstan in Almaty (Alma-Ata), The Republic of Kazakhstan 	https://www.alliedacademies.org/allied-journal-of-environmental-earth-sciences/editors.php	2022-01-28
Allied Academies	Allied Journal of Environmental Earth Sciences	NA	Editor	Khandakar Akhter Hossain	Dockyard &amp; Engineering Work Ltd, Narayanganj, Bangladesh 	https://www.alliedacademies.org/allied-journal-of-environmental-earth-sciences/editors.php	2022-01-28
Allied Academies	Annals of Cardiovascular and Thoracic Surgery	NA	Editor in Chief	Dr. Shigenori Ito, M.D. Ph.D, FJCC	Division of Cardiology, Sankuro Hospital, Toyota, Japan, Director of Medical fitness center, Shin-Shin Toyota, Japan. Email : <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""afdcc7c6c8cac6dbc0969e97efc8c2cec6c381ccc0c2"">[email protected]</a> 	https://www.alliedacademies.org/annals-of-cardiovascular-and-thoracic-surgery/editors.php	2022-01-28
Allied Academies	Annals of Cardiovascular and Thoracic Surgery	NA	Editorial Board Member	GURKIRAT SINGH SIDHU	House No. 44, V.P.O ? Lohatbaddi, Tehsil- Raikot, Dist-Ludhiana, Punjab ? 141109 	https://www.alliedacademies.org/annals-of-cardiovascular-and-thoracic-surgery/editors.php	2022-01-28
Allied Academies	Annals of Cardiovascular and Thoracic Surgery	NA	Editorial Board Member	Prof B Mittal, PhD	Department of Biotechnology Babasaheb Bhimrao Ambedkar University Lucknow, India. Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""26444b4a7956414f665f474e49490845494b"">[email protected]</a> 	https://www.alliedacademies.org/annals-of-cardiovascular-and-thoracic-surgery/editors.php	2022-01-28
Allied Academies	Annals of Cardiovascular and Thoracic Surgery	NA	Editorial Board Member	Dr. Cristiano Spadaccio, MD, PhD	Honorary Clinical Lecturer, Institute of Cardiovascular and Medical Sciences, University of Glasgow, UK. Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""88cbfae1fbfce1e9e6e7a6dbf8e9ece9ebebe1e7c8efe4e9fbefe7ffa6e9eba6fde3"">[email protected]</a> 	https://www.alliedacademies.org/annals-of-cardiovascular-and-thoracic-surgery/editors.php	2022-01-28
Allied Academies	Annals of Cardiovascular and Thoracic Surgery	NA	Editorial Board Member	Dr. Arnon Blum, MD	Chairman of department of Medicine, Bar Ilan University, Israel. Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""c68784aab3ab86b6a9b4afa7e8aea3a7aab2aee8a1a9b0e8afaa"">[email protected]</a> 	https://www.alliedacademies.org/annals-of-cardiovascular-and-thoracic-surgery/editors.php	2022-01-28
