publisher	journal	issn	role	editor	affiliation	url	date
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Executive editors	Michael Wehner	Lawrence Berkeley National Laboratory, United States	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Executive editors	Francis Zwiers	University of Victoria, Canada	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Alex Cannon	Environment and Climate Change Canada Climate Research Division, Canada	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Dan Cooley	Colorado State University Department of Statistics, United States	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Reik Donner	Magdeburg-Stendal University of Applied Sciences Water, Environment, Construction & Safety, Germany	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Chris Forest	The Pennsylvania State University Department of Meteorology, United States	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	William Hsieh	University of British Columbia Department of Earth, Ocean and Atmospheric Sciences, Canada	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Lindsay Lee	Sheffield Hallam University Materials and Engineering Research Institute Department of Engineering and Mathematics, United Kingdom	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Seung-Ki Min	Pohang University of Science and Technology, Korea, Republic Of	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Christopher Paciorek	University of California, Berkeley Department of Statistics, United States	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Sarah Perkins-Kirkpatrick	University of New South Wales Climate Change Research Centre, Australia	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Mark Risser	University of California ~ Berkeley, United States	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Alexandra M. Schmidt	McGill University Department of Epidemiology, Biostatistics and Occupational Health, Canada	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Michael Wehner	Lawrence Berkeley National Laboratory, United States	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Lian Xie	North Carolina State University Marine, Earth & Atmospheric Sciences, United States	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
Copernicus Publications	Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	2364-3579	Associate editors	Xuebin Zhang	Environment and Climate Change Canada Climate Research Division, Canada	https://www.advances-statistical-climatology-meteorology-oceanography.net/editorial_board.html	2022-04-21
