publisher	journal	issn	role	editor	affiliation	url	date
Karger	Acta Cytologica	0001-5547	Editor-in-Chief	Kari J. Syrjänen	SMW Consultants Ltd., Turku, Finland	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Massimo Bongiovanni	SYNLAB Pathology SA, Lausanne, Switzerland	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Lukas Bubendorf	University Hospital Basel, Basel, Switzerland	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Lan Chen	Department of Pathology, Beijing Hospital, Beijing, China	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Andrew S. Field	St Vincent's Hospital, Sydney, NSW, Australia	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Kusum Kapila	Kuwait University Faculty of Medicine, Kuwait-City, Kuwait	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	NA	NA	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Adhemar Longatto-Filho	University of Minho School of Medicine, Braga, Portugal	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Robert Y. Osamura	Keio University School of Medicine, Kawasaki-ku, Japan	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	NA	NA	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Associate Editors	Pio Zeppa	Azienda Ospedaliera Universitaria, Salerno, Italy	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Honorary Editor	Marluce Bibbo	Jefferson University Hospital, Philadelphia, PA, USA	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
Karger	Acta Cytologica	0001-5547	Editorial Board	Mousa A. Al-Abbadi	University of Jordan School of Medicine, Amman, Jordan	https://www.karger.com/Journal/EditorialBoard/254338	2022-02-15
