publisher	journal	issn	role	editor	affiliation	url	date
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Director	Enrique Ogliastri, Ph. D.	INCAE Business School, Costa Rica; IE Business School, Spain	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Editor-in-Chief	Carlos Pombo, Ph.D	School of Management, Universidad de los Andes, Colombia	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Editorial Assistant	Ana Maria Molano Torres	Universidad de los Andes, Colombia	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Manuel Alonso Dos Santos (Marketing)	University of Granada, Spain	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Jorge Ayala, Ph.D. (Strategic Management)	Universidad de Puerto Rico, Puerto Rico	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Guillermo Dabos, Ph.D (Organizational Behaviour)	Universidad Nacional del Centro de la Provincia de Buenos Aires, Argentina	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Maximiliano González, Ph. D. (Finance)	Universidad de los Andes, Colombia	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Mauricio Jara Bertin (Finance)	Universidad de Chile, Chile	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Felix J. Lopez-Iturriaga (Finance)	University of Valladolid, Spain	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Sergio Olavarrieta (Marketing)	Universidad de Chile, Chile	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Gianni Romaní (Strategy, Innovation and Entrepreneurship)	Universidad Católica del Norte, Chile	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Rodrigo Uribe (Marketing)	Universidad de Chile, Chile	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Associate Editor	Mauricio Villena Ph. D. (Public Management)	Ministerio de Hacienda, Chile	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Publisher	Chloe Campbell	Emerald Publishing, UK	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Journal Editorial Office (For queries related to pre-acceptance)	Suraj Rajaram Singh	Emerald Publishing	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Supplier Project Manager (For queries related to post-acceptance)	Abinaya Jegadhesan	Emerald Publishing	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
Emerald	Academia Revista Latinoamericana de Administración	1012-8255	Editorial Advisory Board	Anabella Dávila, Ph. D.	EGADE Business School, Tecnológico de Monterrey, Mexico	https://www.emeraldgrouppublishing.com/journal/arla	2022-01-07
