publisher	journal	issn	role	editor	affiliation	url	date
Brill	Abgadiyat	1687-8280	Editor-in-Chief	 Ahmed Mansour	Bibliotheca Alexandrina	https://brill.com/view/journals/abga/abga-overview.xml	2022-02-10
Brill	Advanced Composite Materials	0924-3046	NA	NA	NA	https://brill.com/view/journals/acm/acm-overview.xml	2022-02-10
Brill	Advanced Powder Technology	0921-8831	NA	NA	NA	https://brill.com/view/journals/apt/apt-overview.xml	2022-02-10
Brill	Advanced Robotics	0169-1864	NA	NA	NA	https://brill.com/view/journals/ar/ar-overview.xml	2022-02-10
Brill	Africa Review	0974-4053	NA	NA	NA	https://brill.com/view/journals/bafr/bafr-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editor	 Tukumbi Lumumba-Kasongo	Wells College, NY, USA	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Managing Editor	 Lloyd Cabasag	University of the Philippines, Philippines	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Book Review Editors	 Yvette Alex-Assensoh	University of Oregon, OR, USA	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Book Review Editors	 Akwasi B. Assensoh	University of Oregon, OR, USA	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editorial Board	 Funwi Ayuninjam	Chatham University, PA, USA	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editorial Board	 Josephine Beoku-Betts	Florida Atlantic University, FL, USA	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editorial Board	 Louis Brenner	SOAS, UK	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editorial Board	 Gui-ying Cao	International Institute for Applied Systems Analysis, Austria	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editorial Board	 Mohamadou Diallo	University of Ouagadougou, Burkina Faso	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editorial Board	 Christopher Ehret	University of California at Los Angeles, CA, USA	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
Brill	African and Asian Studies	1569-2094	Editorial Board	 Toyin Falola	University of Texas at Austin, TX, USA	https://brill.com/view/journals/aas/aas-overview.xml	2022-02-10
