publisher	journal	issn	role	editor	affiliation	url	date
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Coeditors	"Jill D. McLeigh, PhD
"	Children’s Health, Dallas, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Coeditors	"William Spaulding, PhD
"	University of Nebraska at Lincoln, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial assistant	"Sharon Crout, MEd
"	Clemson University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Elisabeth Backe-Hansen, PhD
"	Norwegian Institute for Social Research, Norway	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Ellen L. Bassuk, MD
"	Center for Social Innovation, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Rami Benbenishty, PhD
"	Bar Ilan University, Israel	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"John Brekke, PhD
"	University of Southern California, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Kendell L. Coker, PhD, JD
"	University of New Haven, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Cyleste C. Collins, PhD
"	Cleveland State University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Heather L. Corliss, PhD
"	San Diego State University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Christopher F. Drescher, PhD
"	Augusta University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Amy L. Dworsky, PhD
"	Chapin Hall at the University of Chicago, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Eric Elbogen, PhD
"	Duke University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Joyce Epstein, PhD
"	Johns Hopkins University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Eric A. Evans, PhD
"	Disability Rights Nebraska, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Larry M. Gant, PhD
"	University of Michigan at Ann Arbor, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Virginia Gil-Rivas, PhD
"	University of North Carolina at Charlotte, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Devon Emerson Hinton, MD
"	Harvard Medical School, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Debra A. Hope, PhD
"	University of Nebraska at Lincoln, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Iheoma U. Iruka, PhD
"	HighScope Educational Research Foundation, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Ryan P. Kilmer, PhD
"	University of North Carolina at Charlotte, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Mimi M. Kim, PhD
"	Duke University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Ibrahim Aref Kira, PhD
"	Center for Cumulative Trauma Studies, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Roger J.R. Levesque, PhD, JD
"	Indiana University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Terri Lewis, PhD
"	University of Colorado, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Nancy H. Liu, PhD
"	University of California at Berkeley, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Bob Lonne, PhD
"	University of New England, Australia	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Kathryn Marley Magruder, PhD
"	Medical University of South Carolina, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Michael R. McCart, PhD
"	Oregon Social Learning Center, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"James R. McDonell, PhD
"	Clemson University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"David P. Moxley, PhD
"	University of Alaska Anchorage, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Virginia Murphy-Berman, PhD
"	Skidmore College, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Kim Oates, MD, Dsc
"	The University of Sydney, Australia	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Ellen Olshansky, PhD
"	University of Southern California, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Kenneth I. Pargament, PhD
"	Bowling Green State University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Sita G. Patel, PhD
"	Palo Alto University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Gilbert Reyes, PhD
"	National Child Traumatic Stress Network, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Stefan E. Schulenberg, PhD
"	University of Mississippi, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Anna Skosireva, MD, PhD
"	University of Ottawa, Canada	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Victor C. Strasburger, MD
"	University of New Mexico School of Medicine, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Cris M. Sullivan, PhD
"	Michigan State University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Tony Xing Tan, EdD
"	University of South Florida, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	Elizabeth C. Thomas, PhD<em>	"<br>
Temple University, United States"	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Martie P. Thompson, PhD
"	Clemson University, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	Emily Treichler, PhD<em>	"<br>
VA San Diego, United States"	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Luis A. Vargas, PhD
"	Corrales, N.M., United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Journal of Orthopsychiatry	0002-9432	Editorial board reviewers	"Weijun Wang, PhD
"	University of Buffalo, United States	https://www.apa.org/pubs/journals/ort	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Editor-in-chief	"Harris Cooper, PhD
"	Duke University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Belinda Borrelli, PhD
"	Boston University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Lillian Comas-Díaz, PhD
"	Transcultural Mental Health Institute, Washington, DC, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Nancy Eisenberg, PhD
"	Arizona State University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Nancy E. Hill, PhD
"	Harvard University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Yo Jackson, PhD, ABPP
"	Penn State University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Arthur M. Nezu, PhD, ABPP
"	Drexel University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Alexandra Rutherford, PhD
"	York University, Toronto, Ontario, Canada	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Eduardo Salas, PhD
"	Rice University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Associate editors	"Philip Zelazo, PhD
"	University of Minnesota, Minneapolis, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Mark Aloia, PhD
"	National Jewish Health, Denver, Colorado, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Jacques Barber, PhD
"	Adelphi University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Sherry A. Beaudreau, PhD
"	Stanford University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Annie Bernier, PhD
"	University of Montreal, Montréal, Québec, Canada	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Suzanne T. Bell, PhD
"	National Aeronautics and Space Administration,  Chicago, Illinois, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Sunil Bhatia, PhD
"	Connecticut College, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Michael Borenstein, PhD
"	BioSTAT, Addison, Texas, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Stephanie Carlson, PhD
"	University of Minnesota, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Joshua Clegg, PhD
"	City University of New York, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Elizabeth Cole, PhD
"	University of Michigan, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Nancy Cooke, PhD
"	Arizona State University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Pim Cuijpers, PhD
"	Vrije Universiteit, Amsterdam, Netherlands	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Christopher Cushing, PhD
"	University of Kansas, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Ron Dahl, PhD
"	University of California, Berkeley, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Teresa Davis LaFromboise, PhD
"	Stanford University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"David V. Day, PhD
"	Claremont McKenna College, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"David DeMatteo, PhD
"	Drexel University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Angelo S. DeNisi, PhD
"	Tulane University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"James Driskell, PhD
"	Rollins College, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Alice Eagly, PhD
"	Northwestern University, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Michelle Eakin, PhD
"	Johns Hopkins School of Medicine, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Barbara Fiese, PhD
"	University of Illinois at Urbana-Champaign, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Michelle Fine, PhD
"	City University of New York, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
American Psychological Association	American Psychologist	0003-066X	Consulting editors	"Phil Fisher, PhD
"	University of Oregon, United States	https://www.apa.org/pubs/journals/amp	2022-01-04
