publisher	journal	issn	role	editor	affiliation	url	date
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. Keith Hohn	Chemical, Paper, and Biomedical Engineering Department, Miami University, Oxford, OH 45056, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. Maria A. Goula * 	Department of Chemical Engineering, University of Western Macedonia, GR-50100 Kozani, Greece	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Dr. Vincenzo Baglio * 	CNR-ITAE Institute for Advanced Energy Technologies “N. Giordano”, Via Salita S. Lucia sopra Contesse 5, 98126 Messina, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. Detlef W. Bahnemann * 	1. Institut fuer Technische Chemie, Gottfried Wilhelm Leibniz Universitaet Hannover, Callinstrasse 3, D-30167 Hannover, Germany 	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Dr. Juan J. Bravo-Suarez * 	Chemical &amp; Petroleum Engineering Department, The University of Kansas, Lawrence, KS 66045, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. Jean-François Lamonier * 	Unité de Catalyse et Chimie du Solide, Université Lille, Faculté des Sciences et Technologies, UMR CNRS 8181, 59652 Villeneuve d'Ascq, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. Adam F. Lee * 	School of Science, RMIT University, Melbourne, VIC 3001, Australia	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Dr. Leonarda Francesca Liotta * 	Institute of Nanostructured Materials, Palermo Research Division, CNR - ISMN, via Ugo La Malfa 153, 90146 Palermo, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. Kotohiro Nomura * 	Department of Chemistry, Graduate School of Science, Tokyo Metropolitan University (TMU), 1-1 Minami Osawa, Hachioji, Tokyo 192-0397, Japan	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. Hugo de Lasa * 	Chemical Reactor Engineering Centre (CREC), Faculty of Engineering, Western University, London, ON N6A 5B9, Canada	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Dr. Evangelos Topakas * 	Biotechnology Laboratory, School of Chemical Engineering, National Technical University of Athens, 9 Iroon Polytech Str, Zografou Campus, 15780 Athens, Greece	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editors	 Prof. Dr. C. Heath Turner * 	Department of Chemical and Biological Engineering, The University of Alabama, Box 870203, Tuscaloosa, AL 35487, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Nicolas Abatzoglou	Department of Chemical and Biotechnological Engineering, Université de Sherbrooke, GRTPC&amp;P, 2500 boulevard de l’Université, Sherbrooke, QC J1K 2R1, Canada	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Rajeev Ahuja	Head of Condensed Matter Theory Group, Department of Physics and Astronomy, Uppsala Universitet, SE-751 05 Uppsala, Sweden	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Omid Akhavan	Department of Physics, Sharif University of Technology, P.O. Box 11155-9161, Tehran, Iran	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Andres R. Alcantara	Department of Chemistry in Pharmaceutical Sciences, Faculty of Pharmacy, Complutense University, Plaza De Ramon y Cajal, S/N University City, Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Elisabete C.B.A. Alegria	1. Chemical Engineering Departament, Instituto Superior de Engenharia de Lisboa, Instituto Politécnico de Lisboa, Lisboa, Portugal 	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Dominic Alfonso	Computational Materials Engineering Team, Research and Innovation Center, National Energy Technology Laboratory-US DOE, Pittsburgh, PA 15236, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Nicolas Alonso-Vante	IC2MP-UMR CNRS 7285, University of Poitiers, 86022 Poitiers, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Helmut G. Alt	Laboratorium für Anorganische Chemie, Universität Bayreuth, D-95440 Bayreuth, Germany	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Pedro Modesto Alvarez Pena	Universidad de Extremadura, Departamento de Ingeniería Química y Química Física, Badajoz, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Consuelo Alvarez-Galvan	Sustainable Energy and Chemistry Group, Instituto de Catálisis y Petroleoquímica, CSIC, Marie Curie, 2, Cantoblanco, 28049 Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Pedro Amorós	Institut de Ciència dels Materials de la Universitat de València (ICMUV), C/ Catedrático José Beltrán 2, 46980-Paterna, Valencia, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Wei An	College of Chemistry and Chemical Engineering, Shanghai University of Engineering Science, Songjiang District, Shanghai 201620, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Ermete Antolini	Scuola di Scienza dei Materiali, Via 25 aprile 22, 16016 Cogoleto, Genova, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Jose Maria Arandes	Chemical Engineering Department, Faculty of Science and Technology, University of the Basque Country, Barrio de Sarriena s/n, 48940 Leioa, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Hamidreza Arandiyan	Laboratory of Advanced Catalysis for Sustainability, School of Chemistry, The University of Sydney, Sydney 2006, Australia	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Michele Aresta	IC2R (Innovative Catalysis for Carbon Recycling) Ltd, Tecnopolis, LAB H124, via Casamassima km 3, Valenzano (BA) 70010, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Morris D. Argyle	Chemical Engineering Department, Brigham Young University, Provo, UT 84602, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Laura Antonella Aronica	Dipartimento di Chimica e Chimica Industriale, University of Pisa, Via G. Moruzzi 13, 56124 Pisa, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Jong Wook Bae	School of Chemical Engineering, Sungkyunkwan University (SKKU), Jongno-gu, Korea	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Monica Baia	Faculty of Physics, Babeș-Bolyai University, M. Kogalniceanu 1, 400084 Cluj-Napoca, Romania	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Lucian Baia	Faculty of Physics, Babeș-Bolyai University, M. Kogalniceanu 1, 400084 Cluj-Napoca, Romania	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Miguel A. Banares	CSIC - Institute for Catalysis, Marie Curie 2, E-28049-Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Marco Bandini	Dipartimento di Chimica “G. Ciamician”, Alma Mater Studiorum, via Selmi 2, Bologna, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Pierluigi Barbaro	Consiglio Nazionale delle Ricerche (CNR), Istituto di Chimica dei Composti OrganoMetallici (ICCOM), Via Madonna del Piano 10, 50019, Sesto Fiorentino, Firenze, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Giovanni Barcaro	CNR-IPCF−Institute for Chemical and Physical Processes, via Moruzzi 1, 56124 Pisa, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Calvin H. Bartholomew	BYU Catalysis Lab, Department of Chemical Engineering, Brigham Young University, Provo, UT 84602, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Francesco Basile	"Department of Industrial Chemistry ""Toso Montanari"", University of Bologna, 40126 Bologna, Italy"	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Mauro Bassetti	CNR - Istituto per i Sistemi Biologici - Sede di Roma c/o Dipartimento di Chimica, Università La Sapienza P.le A. Moro 5, 00185 Roma, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Jorge Bedia	Departamento de Ingeniería Química, Universidad Autónoma de Madrid, Cantoblanco, 28049 Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Jorge N. Beltramini	1. Centre for Agriculture and Bioeconomy (CAB), Faculty of Engineering, Queensland University of Technology (QUT), Brisbane QLD 4000, Australia 	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Fernando J. Beltrán Novillo	Departamento de Ingenieria Química y Química Física, Instituto Universitario de Investigación del Agua, Cambio Climático y Sostenibilidad Universidad de Extremadura, 06187 Badajoz, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Carolina Belver	Departamento de Ingeniería Química, Universidad Autónoma de Madrid, Cantoblanco, 28049 Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Per Berglund	Department of Industrial Biotechnology, KTH Royal Institute of Technology, SE-10691 Stockholm, Sweden	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Gilles Berhault	Research Institute on Catalysis and Environment (IRCELYON), CNRS - University Lyon I, 69100, Villeurbanne, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Gloria Berlier	Università di Torino, NIS Centre (Nanostructured Surfaces and Interfaces), Department of Chemistry, Torino, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Luca Bernardi	"Department of Industrial Chemistry ""Toso Montanari"" &amp; INSTM RU Bologna, Alma Mater Studiorum - University of Bologna; V. Risorgimento 4, 40136 Bologna, Italy"	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Mohammed Bettahar	Faculty of Science and Technology, Lorraine University, 54506 Vandoeuvre-les-Nancy, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Zhenfeng Bian	College of Chemistry and Materials Science, Shanghai Normal University, Shanghai 200234, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Andrea Biffis	Department of Chemical Sciences, University of Padova, via Marzolo 1, 35131 Padova, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. David D. Boehr	Department of Chemistry, The Pennsylvania State University, University Park, PA 16802, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Annemie Bogaerts	Research Group PLASMANT, Department of Chemistry, University of Antwerp, Campus Drie Eiken, Universiteitsplein 1, BE-2610 Wilrijk-Antwerp, Belgium	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Soghomon Boghosian	Department of Chemical Engineering, University of Patras, GR 265 04 Patras, Greece	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Juan M. Bolivar	Department of Chemical Engineering, School of Chemical Sciences, Complutense University of Madrid, Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Giuseppe Bonura	CNR-ITAE Institute for Advanced Energy Technologies “N. Giordano” Via Salita S. Lucia sopra Contesse 5, 98126 Messina, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Jin-Hyo Boo	Department of Chemistry, Sungkyunkwan University, Jongno-gu, Korea	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Rafael Borja	Instituto de la Grasa (CSIC), Campus Universitario Pablo de Olavide, Carretera de Utrera km 1, Building 46, ES-41013-Seville, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Rabah Boukherroub	Institute of Electronics, Microelectronics and Nanotechnology (IEMN) UMR CNRS-8520, University of Lille, Cité Scientifique, Avenue Poincaré - CS60069, 59652 Villeneuve d'Ascq, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Enric Brillas	Department of Materials Science and Physical Chemistry, Faculty of Chemistry, University of Barcelona, Barcelona, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Agustín Bueno López	Inorganic Chemistry Department, University of Alicante, Ap. 99, E03080 Alicante, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Rubén M. Buey	Metabolic Engineering Group, Dept. Microbiology and Genetics, University of Salamanca, 37007 Salamanca, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Roman Bulánek	University of Pardubice, Department of Physical Chemistry, Pardubice, Czech Republic	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Alfonso Caballero	CSIC-USE - Instituto de Ciencia de Materiales de Sevilla (ICMS), Department of Inorganic Chemistry, University of Sevilla, Sevilla 41092, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Victorio Cadierno	Department of Organic and Inorganic Chemistry, University of Oviedo, Julián Clavería 8, 33006 Oviedo, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Zhengguo Cai	State Key Laboratory for Modification of Chemical Fibers and Polymer Materials &amp; College of Materials Science and Engineering, Donghua University, Shanghai 201620, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. José Antonio Calles	Chemical, Energy and Mechanical Technology Department, Rey Juan Carlos University, C/ Tulipán, s/n, E-28933 Móstoles, Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Jean‐Marc Campagne	Institut Charles Gerhardt – UMR 5253 CNRS, Ecole Nationale Supérieur de Chimie de Montpellier, Montpellier cedex 5, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Catia Cannilla	"Institute for Advanced Energy Technologies ""Nicola Giordano"" ITAE, Italian National Research Council (CNR), Messina, Italy"	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Carmine Capacchione	Dipartimento di Chimica e Biologia “Adolfo Zambelli”, Università degli Studi di Salerno, Via Giovanni Paolo II, 132 I-84084 Fisciano, SA, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Mickael Capron	UCCS, UMR CNRS 8181, université de Lille, 59655 Villeneuve D’Ascq, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Valérie Caps	Institut de Chimie et des Procédés pour l'Energie, l'Environnement et la Santé (ICPEES), CNRS, UMR 7515, University of Strasbourg, Strasbourg, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Sónia Carabineiro	LAQV/REQUIMTE, Departamento de Química, Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa, 1099-085 Lisboa, Portugal	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Armando Carlone	Department of Physical and Chemical Sciences, Università degli Studi dell'Aquila, via Vetoio, 67100 L'Aquila, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Marco J. Castaldi	Chemical Engineering Department, The City College of New York, City University of New York, 140th Street at Convent Avenue, Steinman Hall, Room 307, New York, NY 10031, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Pedro Castano	KAUST catalysis center; Building 3, Level 4, Office 4274, King Abdullah University of Science and Technology (KAUST), Thuwal, 23955-6900, P.O.Box 4700, Saudi Arabia	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Miguel Angel Centeno	Instituto de Ciencia de Materiales de Sevilla and Departamento de Química Inorgánica, Centro Mixto CSIC-Universidad de Sevilla, Av. Américo Vespucio 49, 41092 Sevilla, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Giuseppina Pinuccia Cerrato	Department of Chemistry, University of Turin, Torino, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Sudip Chakraborty	Department of DIMES, University of Calabria, Via P. Bucci Cubo 42/A, 87036 Arcavacata di Rende (CS), Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Jamal Chaouki	Chemical Engineering Department, École Polytechnique de Montŕeal, C.P. 6079 succ. Centre-Ville, Montréal, QC H3C 3A7, Canada	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Wei Chen	1. Department of Applied Chemistry, School of Chemistry and Materials Science, University of Science and Technology of China, Heifei, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Penglei Chen	Beijing National Laboratory for Molecular Science, CAS Research/Education Center for Excellence in Molecular Sciences, CAS Key Laboratory of Colloid, Interface and Chemical Thermodynamics, Institute of Chemistry, Chinese Academy of Sciences, Beijing 100190, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Sheng Chen	Key Laboratory for Soft Chemistry and Functional Materials (Ministry of Education), School of Chemistry and Chemical Engineering, Nanjing University of Science and Technology, Nanjing 210094, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Zupeng Chen	College of Chemical Engineering, Nanjing Forestry University, Nanjing 210037, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Tiehong Chen	Key Laboratory of Advanced Energy Materials Chemistry (Ministry of Education), School of Materials Science and Engineering, Nankai University, Tianjin 300350, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Daojian Cheng	Beijing University of Chemical Technology, Beijing, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Yi Cheng	Department of Chemical Engineering, Beijing Key Laboratory of Green Reaction Engineering and Technology, Tsinghua University, Beijing 100084, China	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Russell R. Chianelli	Director of the Materials Science and Technology Institute , The University of Texas at El Paso, El Paso, TX 79968, USA	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Lucjan Chmielarz	Faculty of Chemistry, Jagiellonian University in Kraków, Gronostajowa 2, 30-387 Kraków, Poland	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Sang-Il Choi	Department of Chemistry and Green-Nano Materials Research Center, Kyungpook National University 80 Daehak-ro, Buk-gu, Daegu 41566, Korea	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Jae-Soon Choi	Catalyst Development Center, Basic Materials &amp; Chemicals R&amp;D / LG Chem Research Park, 188, Munji-ro, Yuseong-gu, Daejeon 34122, Korea	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Wonyong Choi	Division of Environmental Science and Engineering, Pohang University of Science and Technology (POSTECH), Pohang 37673, Korea	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Paolo Ciambelli	Emeritus professor of University of Salerno and CEO of Narrando Srl, via Giovanni Paolo II, 132, 84084 Fisciano, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Stefano Cimino	Istituto di Ricerche sulla Combustione IRC-CNR, P.le V. Tecchio, 80 - 80125 Napoli, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Dragoş Mihael Ciuparu	Department of Chemical and Environmental Engineering, Petroleum - Gas University of Ploiești, 100520 Ploiești, Romania	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Jean Marc Clacens	IC2MP (Institute of Material and Environment Chemistry of Poitiers), UMR 7285 CNRS-Université de Poitiers, “Catalysis and Non Conventional Media” Group 4, rue Michel Brunet, TSA 51106, 86073 Poitiers CEDEX 9, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
