publisher	journal	role	editor	affiliation	url	date
Springer Nature	BDJ Open	Editorial Board	Stephen Hancocks OBE 	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Jonathan Lewney	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Silvana Barros	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Michael Burrow	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Jennifer E. Gallagher MBE	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	OP Kharbanda	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Christel Larsson	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Allan Pau	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Benedict Seo	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Brittany Seymour	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Jose F. Siqueira Jr	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Helen Whelton	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	BDJ Open	Editorial Board	Masahiro Yoneda	NA	https://www.nature.com/bdjopen/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Hillard M. Lazarus, USA	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Mohamad Mohty, France	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Robert Peter Gale, USA 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Jane Apperley, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Armand Keating, Canada	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Alejandro Madrigal, UK	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Yair Reisner, Israel	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Veronika Bachanova, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Karen Ballen, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Ali Bazarbachi, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Didier Blaise, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Ronjon Chakraverty, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Ed Copelan, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Selim Corbacioglu, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Katharina Fleischhauer, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Sergio Giralt, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	  Rupert Handgretinger, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Shahrukh Hashmi, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Ernst Holler, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Myriam Labopin	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Per Ljungman	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Navneet Majhail	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Arnon Nagler	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Jakob Passweg	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Bipin Savani, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Bart Scott, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Lynne Strasfeld, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Takanori Teshima, 	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	Bone Marrow Transplantation	Editorial Board	Florent Malard, France	NA	https://www.nature.com/bmt/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Prof Adrian L Harris	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Prof Margaret Ashcroft, (Cellular and Molecular Biology)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Dr Stephen Chia, (Clinical studies)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Professor Angela Cox, (Genetics and Genomics)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Prof Jeff Evans, (Clinical studies)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Dr Suzanne Fuqua, (Translational Therapeutics)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Niels Halama (Translational Therapeutics)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Prof Per Hall, (Epidemiology)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Dr Lynette Sholl, (Molecular Diagnostics)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Prof Rulla Tamimi, (Epidemiology)	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	British Journal of Cancer	Editorial Board	Karen Vousden	NA	https://www.nature.com/bjc/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Georgios Giamas, University of Sussex, UK	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Leandro Castellano, University of Sussex, UK	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Teresa Gagliano, University of Udine, Italy	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Steven Katz, Roger Williams Medical Center, USA	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Roger Williams Medical Center	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	, Boston University School of Medicine. 	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	New York University School of Medicine	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Memorial Sloan-Kettering Cancer Center	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	His overarching career goal is to develop novel immunotherapy treatments for presently incurable liver and pancreas tumors.	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Masatoshi Tagawa, Chiba University, Japan	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cancer Gene Therapy	Editorial Board	Dong Yin, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, China	NA	https://www.nature.com/cgt/editors	2022-02-10
Springer Nature	Cell Death & Differentiation	NA	Gerry Melino	"Italy, Rome and UK, Cambridge - Gerry Melino is Head of the Apoptosis &amp; Cancer Laboratory, Medical Research Council Toxicology Unit, UK; and Professor of Molecular Biology (Medicine), University of Rome ""Tor Vergata"". He was awarded the Academia Lincei ""Feltrinelli"" Prize, the highest distinction by the President of Italy. His scientific interest focuses upon programmed cell death in cancer and skin. On the epidermis he works on the molecular events leading to death of keratinocytes, both in animal models as well as in human pathologies. Gerry's major work investigates the two recently identified members of the p53 family – p63 and p73. The molecular events driven by DNA damage to elicit the function of p63/p73 is investigated in vitro (transcriptional targets, proteosomal degradation, inhibitors) as well in ad hoc transgenic animal models."	https://www.nature.com/cdd/editors	2022-02-10
Springer Nature	Cell Death & Differentiation	NA	Tak W Mak	Canada, Toronto - Tak W. Mak is the Director of the Campbell Family Institute for Breast Cancer Research at the Princess Margaret Cancer Centre, and a University Professor in the Departments of Medical Biophysics and Immunology at the University of Toronto. Dr. Mak received his B.Sc. and M.Sc. degrees from the University of Wisconsin (Madison) and his Ph.D. degree from the University of Alberta. His postdoctoral work was performed at the Ontario Cancer Institute under the supervision of Dr. Ernest McCulloch. Dr. Mak's research interests center on immune cell recognition/regulation, molecular mechanisms underlying the survival and death of normal or malignant cells, as well as the role of inflammation in the progression of autoimmune disease and cancer. He is best known as the lead scientist of the group that first cloned the genes of the human T cell antigen receptor, a discovery that provided essential insights into the molecular basis of cellular immunity. In addition, Dr. Mak has devoted a large portion of his research to investigating the pathogenesis of cancer. In particular, he is interested in mechanisms of metabolic transformation in order to identify potential targets for novel cancer therapeutics. Dr. Mak has published over 800 peer-reviewed research papers and holds many patents. His many accomplishments have been recognized by the scientific community through numerous prestigious awards and honours, such as the, Emil von Behring Prize, Gairdner International Award, King Faisal International Prize for Medicine, Sloan Prize, and Novartis Immunology Prize. He is a Fellow of the Royal Society of London, a Foreign Associate of the National Academy of Sciences (USA), an Officer of the Orders of Ontario and Canada and a Fellow of American Association for Cancer Research Academy (USA).	https://www.nature.com/cdd/editors	2022-02-10
