publisher	journal	issn	role	editor	affiliation	url	date
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Thomas J R Beveridge, PhD	Physiology & Pharmacology Wake Forest University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Roberto Maniglio	Clinical Psychology Mercatorum University, Rome, Italy	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Amy L Copeland, PhD	Department of PsychologyLouisiana State University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Lisa M Najavits, PhD	Department of PsychiatryBoston University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Robert Freedman, PhD	Psychiatry and Behavioral NeurosciencesWayne State University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Patrick Sherry, PhD	Counseling Psychology ProgramUniversity of Denver, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Ann Melvin, PhD	Department Of Human ServicesUniversity of Illinois at Springfield, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Rong Chen, PhD	Department of Physiology & PharmacologyWake Forest University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Grace X Ma, PhD	Department of  Public HealthTemple University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Doo-Sup Choi, PhD	Neurobiology of Alcoholism and Drug AddictionMayo Clinic College of Medicine, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Mustafa al Absi, PhD	Department of Family Medicine and Behavioral SciencesUniversity of Minnesota Medical School, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Christine Bard, PhD	Department of Counseling PsychologyAlder School of Professional Psychology, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Sharon Davis, PhD	Arkansas State University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Richard Lamb, PhD	Department of Psychiatry and PharmacologyUniversity of Texas Health Science Center, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Roger D Weiss, MD	Department of PsychiatryMcLean Hospital, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Jered B Kolbert, PhD	Department of Counseling, Psychology, and Special EducationDuquesne University, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Kristin Ostlie, PhD	Department of Physical Medicine and RehabilitationInnlandet Hospital Trust, Norway	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Bernard Le Foll, PhD	University of Toronto, Canada	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	WK Tang, PhD	Department of Psychiatry,The Chinese University of Hong Kong, Hong Kong	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
SciTechnol	Journal of Addictive Behaviors,Therapy & Rehabilitation	2324-9005	Editorial Board	Victor Andreev, PhD	Department of Biochemistry and Molecular BiologyUniversity of Miami, USA	https://www.scitechnol.com/editorialboard-addictive-behaviors-therapy-rehabilitation.php	2022-01-28
