publisher	journal	issn	role	editor	affiliation	url	date
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editor	Wieslaw Binienda	University of Akron	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Past Editors	Manohar P. Kamat	Georgia Institute of Technology	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Past Editors	Robert F. Seedlock	Consulting Engineer	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Past Editors	Firdaus Udwadia	University of Southern California	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Alessandro Ceruti	University of Bologna	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Robert K. Goldberg	NASA Glenn Research Center	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Xuan Kong	Hunan University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Foluso Ladeinde	Stony Brook University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Hong-nan Li	Dalian University of Technology	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Jun Li	Curtin University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Yu Liu	Southern University of Science and Technology	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Piergiovanni Marzocca	RMIT University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Adrian Pudsey	RMIT University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Pizhong Qiao	Shanghai Jiao Tong University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Gangbing Song	University of Houston	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Paul van Susante	Michigan Technological University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	Steven F. Wojtkiewicz	Clarkson University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Associate Editors	David Zeng	Stevens Institute of Technology	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Hojjat Adeli	The Ohio State University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Zdenek Bazant	Northwestern University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Aman Behal	University of Central Florida	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Ahmed K. Noor	Old Dominion University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Anthony Palazotto	Air Force Institute of Technology	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Tobias Rossmann	Rutgers University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Pol. D. Spanos	Rice University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	Theodore Stathopoulos	Concordia University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Editorial Board	George Voyiadjis	Louisiana State University	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Aerospace Division Executive Committee	Gangbing Song	Chair	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Aerospace Division Executive Committee	Alaina Roberts	Vice-Chair	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Aerospace Division Executive Committee	Peter Visscher	Secretary	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Aerospace Division Executive Committee	Olga Bannova	Member	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Aerospace Division Executive Committee	Chris Dreyer	Member	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
American Society of Civil Engineers	Journal of Aerospace Engineering	NA	Aerospace Division Executive Committee	Paul Van Susante	Past-Chair	https://ascelibrary.org/page/jaeeez/editorialboard	2022-01-04
