publisher	journal	issn	role	editor	affiliation	url	date
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Editor-in-Chief	Norman Dovichi	 University of Notre Dame, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Damien Arrigan	 Curtin University, Australia	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Ryan Bailey	 University of Michigan, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Jaebum Choo	 Chung-Ang University, South Korea	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Karen Faulds	 University of Strathclyde, UK	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Baohong Liu	 Fudan University, China	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Nicole Pamme	 University of Hull, UK	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Evan Williams	 University of California, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Hua-Zhong Yu	 Reviews editor, Simon Fraser University, Canada	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Associate editors	Jun-Jie Zhu	 Nanjing University, China,	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Editorial Board: Editorial board members	Susan Lunte	 The University of Kansas, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Matthew Baker	 University of Strathclyde, UK	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Perdita Barran	 The University of Manchester, UK	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Paul Bohn	 University of Notre Dame, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Yoon-Kyoung Cho	 Ulsan National Institute of Science and Technology, Korea	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Claudia Conti	 CNR, Italy	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	R Graham Cooks	 Purdue University, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Volker Deckert	 University of Jena, Germany	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Joshua Edel	 Imperial College London, UK	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Qun Fang	 Zhejiang University, China	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Facundo Fernandez	 Georgia Institute of Technology, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Roy Goodacre	 University of Liverpool, UK	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Duncan Graham	 University of Strathclyde, UK	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
Royal Society of Chemistry	Analyst	1364-5528	Advisory Board	Robert T Kennedy	 University of Michigan, USA	https://www.rsc.org/journals-books-databases/about-journals/analyst/	2022-01-04
