publisher	journal	role	editor	affiliation	url	date
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Anabela Mesquita	ISCAP / IPP, Portugal	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Anthony Scime	SUNY Brockport, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Bradford Eden	Valparaiso University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Costas Vassilakis	University of the Peloponnese, Greece	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Craig Van Slyke	Louisiana Tech University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	David Paper	Utah State University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Dirk Stelzer	Technische Universität Ilmenau, Germany	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Fjodor Ruzic	Institute for Informatics, Croatia	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Gian Piero Zarri	Sorbonne University, Paris, France	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Hui Cao	Tsinghua University, China	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Jan Frick	University of Stavanger, Norway	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Janice Sipior	Villanova University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Kai Jakobs	RWTH Aachen University, Germany	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Mahesh Raisinghani	Texas Woman's University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Makoto Nakayama	DePaul University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Mark Toleman	University of Southern Queensland, Australia	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Philip Powell	University of London, United Kingdom	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Robert Stone	University of Idaho, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Ross Malaga	Montclair State University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Telmo Henriques	ISCTE – University Institute of Lisbon, Portugal	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Associate Editors	Vito Veneziano	University of Hertfordshire	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Editorial Review Board	Abhishek Behl	O P Jindal Global University, India, India	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Editorial Review Board	Andrew Borchers	Lipscomb University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Editorial Review Board	Andrew Targowski	Western Michigan University, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Editorial Review Board	Annette Mills	University of Canterbury, New Zealand	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
IGI Global	Information Resources Management Journal (IRMJ)	Editorial Review Board	Chuleeporn Changchit	Texas A&M University - Corpus Christi, United States	https://www.igi-global.com/journal/information-resources-management-journal/1073	2022-01-04
